ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Informasjonsteknologi og medieproduksjon;Vg2;2022;82,7;0;14,8;67,9;0;0
3;YRK;IM;IMITK2;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;IMITK2 - Informasjonsteknologi;Vg2;2022;83,3;0;9,1;74,2;0;0
3;YRK;IM;IMMED2;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;IMMED2 - Medieproduksjon;Vg2;2022;80;0;40;40;0;0
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg2;2022;79,6;0;35,7;23,5;0;20,4
3;YRK;NA;NAHDF2;Yrkesfaglig;Naturbruk;NAHDF2 - Heste- og dyrefag;Vg2;2022;76,1;0;47,8;26,1;0;2,2
3;YRK;NA;NALGA2;Yrkesfaglig;Naturbruk;NALGA2 - Landbruk og gartnernæring;Vg2;2022;84,6;0;12,8;23,1;0;48,7
3;YRK;NA;NASBR2;Yrkesfaglig;Naturbruk;NASBR2 - Skogbruk;Vg2;2022;76,9;0;61,5;15,4;0;0
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg2;2022;68,2;0;6,5;57,9;1,9;1,9
3;YRK;RM;RMBAK2;Yrkesfaglig;Restaurant- og matfag;RMBAK2 - Baker og konditor;Vg2;2022;80;0;0;70;10;0
3;YRK;RM;RMKOS2;Yrkesfaglig;Restaurant- og matfag;RMKOS2 - Kokk- og servitørfag;Vg2;2022;70;0;7,8;58,9;1,1;2,2
3;YRK;RM;RMMPR2;Yrkesfaglig;Restaurant- og matfag;RMMPR2 - Matproduksjon;Vg2;2022;28,6;0;0;28,6;0;0
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Salg, service og reiseliv;Vg2;2022;59,3;0;21,5;36,9;0,9;0
3;YRK;SR;SRSRL2;Yrkesfaglig;Salg, service og reiseliv;SRSRL2 - Salg og reiseliv;Vg2;2022;60,5;0;21;38,9;0,6;0
3;YRK;SR;SRSSH2;Yrkesfaglig;Salg, service og reiseliv;SRSSH2 - Service, sikkerhet og administrasjon;Vg2;2022;55,8;0;23,1;30,8;1,9;0
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg2;2022;73,3;0;3,2;66,1;1,8;2,3
3;YRK;TP;TPAMK2;Yrkesfaglig;Teknologi- og industrifag;TPAMK2 - Arbeidsmaskiner;Vg2;2022;65;0;0;25;0;40
3;YRK;TP;TPBLK2;Yrkesfaglig;Teknologi- og industrifag;TPBLK2 - Bilskade, lakk og karosseri;Vg2;2022;77,8;0;7,4;66,7;3,7;0
3;YRK;TP;TPKJT2;Yrkesfaglig;Teknologi- og industrifag;TPKJT2 - Kjøretøy;Vg2;2022;71,4;0;4,1;59,2;6,1;2
3;YRK;TP;TPKPL2;Yrkesfaglig;Teknologi- og industrifag;TPKPL2 - Kjemiprosess- og laboratoriefag;Vg2;2022;88,5;0;0;88,5;0;0
