EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg2;2022;91,5;49,6;17;24,8;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg2;2022;85,6;53,4;9,7;15,7;0,2;6,7
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg2;2022;91,1;91,1;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg2;2022;91,7;91,7;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg2;2022;83,1;43,4;9,3;27,7;0,2;2,6
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg2;2022;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg2;2022;95,9;95,8;0,1;0;0;0
2;I;07;07;Hele landet;Vestfold;Vestfold;Studieforberedende;Vg2;2022;;;;;;
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg2;2022;94,8;94,6;0,1;0,1;0;0
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg2;2022;90,3;90,3;0;0;0;0
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Studieforberedende;Vg2;2022;;;;;;
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg2;2022;98;98;0;0;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg2;2022;91,3;91,3;0;0;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg2;2022;94,2;93,8;0,4;0;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg2;2022;85,7;85,7;0;0;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg2;2022;96,2;96,2;0;0;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg2;2022;95,6;95,6;0;0;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg2;2022;98,6;97,2;0;1,4;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg2;2022;93,4;92,8;0,3;0,3;0;0
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg2;2022;91,1;91,1;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg2;2022;91,7;91,7;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg2;2022;95,6;95,6;0;0;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg2;2022;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg2;2022;78,2;0;23,1;47;0,6;7,3
2;I;07;07;Hele landet;Vestfold;Vestfold;Yrkesfag;Vg2;2022;;;;;;
