Stop;StopName;Kommunenavn;Lon;Lat;PublicLineNo;Reisende;Year;Month
104115;Nyveien;Holmestrand;10,321965;59,481167;45;15,894059;2023;10
31315;Verdun;Færder;10,455569;59,209826;113B;74,172274;2023;10
33884;Blåstein;Sandefjord;10,271884;59,140470;1209;0,948732;2023;5
33990;Farmandsveien;Tønsberg;10,406534;59,275890;1506;0,948732;2023;5
33548;Batteritomta;Larvik;10,018174;59,049380;1102;8,859004;2023;3
33375;Foldvik;Larvik;9,969326;58,996032;1310;2,087914;2023;2
30927;Tønsberg stasjon;Tønsberg;10,410007;59,271440;1155;41,259697;2023;11
31935;Holmensvingen;Færder;10,379234;59,205282;2;14,834455;2023;10
33642;Eiktoppen;Tønsberg;10,418993;59,291934;1592;167,92559;2023;5
33640;Berg Høyjord;Sandefjord;10,113851;59,360249;1563;12,333518;2023;5
32126;Kjelleparken legevakt;Tønsberg;10,396554;59,284588;117;3,178812;2023;10
31862;Øhrebekken;Færder;10,428802;59,235015;113A;37,542825;2023;9
31835;Ødekjæret;Færder;10,417635;59,105112;2;160,508136;2023;7
32822;Hundstokk;Sandefjord;10,199816;59,158876;150;1,014687;2023;6
33858;Glanutveien;Tønsberg;10,367272;59,254382;130;148,664604;2023;4
31438;Lardal skole;Larvik;9,965069;59,400663;1351;191,67664;2023;3
33350;Flåtan;Holmestrand;10,211870;59,658863;95;57,180846;2023;3
30636;Greveskogen Idrettspark;Tønsberg;10,405603;59,287567;21;4,042662;2023;1
31052;Selvik;Holmestrand;10,263467;59,567343;93;10,106655;2023;1
33987;Borre;Horten;10,456075;59,380007;23;37,190226;2023;12
33566;Bekkajordet;Horten;10,451005;59,433441;74;4,058746;2023;6
30756;Rødberg;Larvik;10,016640;59,033496;1;212,967191;2023;2
32120;Kjelle;Tønsberg;10,403776;59,279683;1570;21,223975;2023;1
33031;Oterbekklina;Færder;10,449529;59,193400;1554;15,894059;2023;10
33848;Bjørnerød;Sandefjord;10,220303;59,187199;1;11,855629;2023;9
33263;Alveveien;Tønsberg;10,420782;59,295220;1592;14,462866;2023;12
31368;Havna;Færder;10,406617;59,083105;22;47,634673;2023;7
33406;Fossan;Tønsberg;10,258205;59,385316;121;2,029373;2023;6
30554;Revetal;Tønsberg;10,264833;59,370448;1513;1,033062;2023;12
30969;Ulvø;Færder;10,447508;59,202233;1551;72,053066;2023;10
31286;Veldrebakken;Larvik;9,996808;59,046702;1315;1,610728;2023;3
32121;Kjelle;Tønsberg;10,403197;59,279953;117;18,791223;2023;2
31063;Sem;Tønsberg;10,330410;59,282700;1;972,961235;2023;11
33851;Enggata;Horten;10,481590;59,414509;1182;0,987969;2023;9
33287;Amundrødveien Fugleveien;Færder;10,387725;59,242639;100;5,927814;2023;9
33352;Dreggveien;Færder;10,447421;59,208934;1553;55,244916;2023;8
30434;Presterød;Tønsberg;10,442666;59,273291;1;206,917322;2023;8
33955;Fagerliveien;Holmestrand;10,305007;59,482298;42;1,010665;2023;1
30900;Sande gamle prestegård;Holmestrand;10,208693;59,592704;95;1,919056;2023;11
