CAR_ID;Adresse;RENTAL_ID;DRIVER_ID;STARTS_AT;IS_BUSINESS_TRIP;CURRENT_AGE;CITY;;
1087872;Rambergveien 19, Tønsberg, Norge;7294255;5027538;18.02.2023;no;26;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8076569;5093528;31.01.2024;no;31;Husøysund;;
1087872;Rambergveien 19, Tønsberg, Norge;7639750;5095886;14.07.2023;no;46;TØNSBERG;;
1087872;Rambergveien 19, Tønsberg, Norge;7425671;4845843;20.04.2023;no;47;Nøtterøy;;
1087872;Rambergveien 19, Tønsberg, Norge;7877187;5494686;24.10.2023;yes;59;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7165978;4183708;03.12.2022;no;31;TØNSBERG;;
1087872;Rambergveien 19, Tønsberg, Norge;7376452;4183708;03.04.2023;dismissed;31;TØNSBERG;;
1087872;Rambergveien 19, Tønsberg, Norge;7209741;4965995;30.12.2022;no;55;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7215782;4970884;03.01.2023;no;43;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7230781;4981155;13.01.2023;no;49;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7235238;4984582;15.01.2023;no;50;Nøtterøy;;
1087872;Rambergveien 19, Tønsberg, Norge;7247691;4993591;09.02.2023;no;35;TØNSBERG;;
1087872;Rambergveien 19, Tønsberg, Norge;7664917;5235238;20.07.2023;no;53;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7739795;5215115;24.08.2023;yes;23;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7740391;5393568;27.08.2023;no;47;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7711638;5367827;10.08.2023;dismissed;28;Heimdal;;
1087872;Rambergveien 19, Tønsberg, Norge;7913115;5520064;10.11.2023;no;40;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8027657;4194848;09.01.2024;yes;49;Larvik;;
1087872;Rambergveien 19, Tønsberg, Norge;8055053;4195467;22.01.2024;unclear;32;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7862890;4946607;16.10.2023;yes;53;BARKAKER;;
