Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Rollag,3 336,1 395,728,""0,5"",5,140,10,4,100,7,1,40,3"
"Nore og Uvdal,3 338,2 486,5 531,""2,2"",46,554,22,44,492,20,2,62,2"
"Horten,3 901,27 939,162 228,""5,8"",422,11 084,40,264,7 550,27,158,3 534,13"
"Holmestrand,3 903,26 872,138 086,""5,1"",420,9 370,35,327,7 274,27,93,2 096,8"
"Tønsberg og Færder,3 905,86 675,305 611,""3,5"",443,14 987,17,286,11 915,14,157,3 072,4"
"Sandefjord,3 907,66 231,250 599,""3,8"",425,12 521,19,381,11 187,17,44,1 334,2"
"Larvik,3 909,48 715,220 973,""4,5"",819,16 149,33,701,13 089,27,118,3 060,6"
"Porsgrunn,4 001,37 193,146 468,""3,9"",216,7 352,20,177,6 507,17,39,845,2"
"Skien,4 003,56 619,155 038,""2,7"",347,15 747,28,339,15 450,27,8,297,1"
"Notodden,4 005,13 266,72 949,""5,5"",197,9 016,68,188,7 334,55,9,1 682,13"
Siljan,4 010,2 382,2 406,1,15,545,23,15,545,23,,,
"Bamble,4 012,14 269,36 630,""2,6"",124,2 893,20,107,2 713,19,17,180,1"
"Kragerø,4 014,10 445,43 230,""4,1"",133,3 541,34,127,3 392,32,6,149,1"
"Drangedal,4 016,4 086,16 043,""3,9"",10,141,3,10,141,3,,,"
"Nome,4 018,6 539,30 437,""4,7"",79,1 119,17,45,780,12,34,339,5"
"Midt-Telemark,4 020,10 904,29 149,""2,7"",79,854,8,77,819,8,2,35,0"
"Seljord,4 022,2 979,11 078,""3,7"",42,1 198,40,42,1 198,40,,,"
"Hjartdal,4 024,1 630,1 827,""1,1"",70,452,28,14,115,7,56,337,21"
"Tinn,4 026,5 533,12 438,""2,2"",48,1 236,22,41,1 116,20,7,120,2"
"Kviteseid,4 028,2 458,3 000,""1,2"",,,,,,,,,"
"Nissedal,4 030,1 471,1 550,""1,1"",38,570,39,33,515,35,5,55,4"
Fyresdal,4 032,1 256,6 320,5,17,219,17,16,187,15,1,32,3
Tokke,4 034,2 212,19 987,9,48,2 053,93,48,2 053,93,,,
"Vinje,4 036,3 851,8 095,""2,1"",92,1 294,34,92,1 294,34,,,"
"Risør,4 201,6 825,36 177,""5,3"",139,3 472,51,126,2 702,40,13,770,11"
Grimstad,4 202,24 969,150 920,6,265,9 512,38,252,9 442,38,13,70,0
"Arendal,4 203,46 355,172 474,""3,7"",420,10 028,22,300,8 717,19,120,1 311,3"
"Kristiansand,4 204,116 986,536 977,""4,6"",772,23 936,20,600,17 384,15,172,6 552,6"
"Lindesnes,4 205,23 690,97 978,""4,1"",76,2 443,10,50,1 703,7,26,740,3"
"Farsund,4 206,9 876,31 586,""3,2"",16,579,6,15,518,5,1,61,1"
"Flekkefjord,4 207,9 279,60 000,""6,5"",80,2 406,26,67,1 891,20,13,515,6"
"Gjerstad,4 211,2 444,4 385,""1,8"",44,590,24,34,490,20,10,100,4"
"Vegårshei,4 212,2 268,6 300,""2,8"",72,1 378,61,72,1 378,61,,,"
"Tvedestrand,4 213,6 323,18 278,""2,9"",96,3 801,60,82,3 201,51,14,600,9"
"Froland,4 214,6 236,24 574,""3,9"",77,1 464,23,70,1 410,23,7,54,1"
"Lillesand,4 215,11 523,35 544,""3,1"",120,3 916,34,117,3 796,33,3,120,1"
"Birkenes,4 216,5 480,13 000,""2,4"",14,281,5,14,281,5,,,"
"Åmli,4 217,1 802,2 573,""1,4"",2,32,2,2,32,2,,,"
"Iveland,4 218,1 380,1 660,""1,2"",10,120,9,,,,10,120,9"
"Evje og Hornnes,4 219,3 967,10 570,""2,7"",14,182,5,14,182,5,,,"
"Bygland,4 220,1 180,1 992,""1,7"",6,48,4,6,48,4,,,"
Valle,4 221,1 205,7 280,6,46,518,43,46,518,43,,,
Bykle,4 222,1 011,,,9,,,9,,,,,
"Vennesla,4 223,15 452,84 552,""5,5"",59,790,5,59,790,5,,,"
"Åseral,4 224,923,7 300,""7,9"",31,658,71,30,628,68,1,30,3"
"Lyngdal,4 225,10 835,89 909,""8,3"",72,2 117,20,72,2 117,20,,,"
Hægebostad,4 226,1 776,10 720,6,81,2 247,127,73,2 072,117,8,175,10
"Kvinesdal,4 227,6 192,15 288,""2,5"",46,869,14,46,869,14,,,"
"Sirdal,4 228,1 873,4 014,""2,1"",69,810,43,60,747,40,9,63,3"
"Eigersund,1 101,15 221,38 300,""2,5"",70,1 020,7,70,1 020,7,,,"
"Stavanger,1 103,149 048,1 367 903,""9,2"",2 335,67 292,45,1 684,56 751,38,651,10 541,7"
"Haugesund,1 106,38 292,302 367,""7,9"",675,39 994,104,516,27 935,73,159,12 059,31"
"Sandnes,1 108,83 702,245 065,""2,9"",615,18 426,22,564,18 151,22,51,275,0"
"Sokndal,1 111,3 347,15 200,""4,5"",,,,,,,,,"
"Lund,1 112,3 226,15 722,""4,9"",47,1 620,50,47,1 620,50,,,"
"Bjerkreim,1 114,2 892,8 971,""3,1"",69,1 221,42,69,1 221,42,,,"
"Hå,1 119,19 827,131 670,""6,6"",288,5 355,27,281,5 113,26,7,242,1"
"Klepp,1 120,20 900,70 146,""3,4"",218,3 578,17,213,3 561,17,5,17,0"
"Time,1 121,19 910,98 419,""4,9"",195,8 442,42,161,6 558,33,34,1 884,9"
