Kommunenummer;Kommune;Kjønn;År;Innvandringsgrunn;Enhet;Antall
4227;Kvinesdal;Menn;2025;Uoppgitt;Prosent;3.3
3407;Gjøvik;Kvinner;2025;Uoppgitt;Personer;194
4611;Etne;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;12
4016;Drangedal;Alle;2025;Alle;Prosent;100.0
4022;Seljord;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;28.0
5028;Melhus;Menn;2025;Familieinnvandrede;Prosent;7.4
5603;Hammerfest (f.o.m. 2020);Menn;2025;Arbeidsinnvandrere;Prosent;15.1
1122;Gjesdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;366
1820;Alstahaug;Alle;2025;Familieinnvandrede;Prosent;19.2
3450;Etnedal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;20.5
4032;Fyresdal;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;19.6
5618;Måsøy;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;5
1539;Rauma;Kvinner;2025;Alle;Prosent;48.6
1576;Aure;Menn;2025;Familieinnvandrede;Prosent;5.8
1160;Vindafjord;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;383
3216;Vestby;Menn;2025;Familieinnvandrede;Personer;266
3440;Øyer;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.2
4005;Notodden;Alle;2025;Familieinnvandrede;Personer;420
4220;Bygland;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;25
4621;Voss (f.o.m. 2020);Menn;2025;Arbeidsinnvandrere;Personer;301
4623;Samnanger;Kvinner;2025;Familieinnvandrede;Personer;52
1531;Sula;Kvinner;2025;Familieinnvandrede;Prosent;20.4
4639;Vik;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;30.9
4631;Alver;Menn;2025;Arbeidsinnvandrere;Personer;634
5056;Hitra (f.o.m. 2020);Alle;2025;Arbeidsinnvandrere;Personer;548
3441;Gausdal;Alle;2025;Uoppgitt;Prosent;14.4
4207;Flekkefjord;Kvinner;2025;Uoppgitt;Prosent;4.8
4629;Modalen;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;59.6
5056;Hitra (f.o.m. 2020);Menn;2025;Alle;Prosent;54.5
5510;Kvæfjord;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;25.3
5034;Meråker;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;201
5060;Nærøysund;Kvinner;2025;Alle;Personer;609
5610;Karasjok;Kvinner;2025;Uoppgitt;Personer;46
4624;Bjørnafjorden;Menn;2025;Arbeidsinnvandrere;Prosent;24.1
5025;Røros;Alle;2025;Familieinnvandrede;Prosent;12.7
3234;Lunner;Kvinner;2025;Uoppgitt;Personer;77
3305;Ringerike;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;927
4207;Flekkefjord;Alle;2025;Arbeidsinnvandrere;Personer;255
4633;Fedje;Kvinner;2025;Familieinnvandrede;Personer;11
4225;Lyngdal (f.o.m. 2020);Alle;2025;Familieinnvandrede;Prosent;23.7
5628;Tana;Menn;2025;Alle;Prosent;43.4
3903;Holmestrand (f.o.m. 2020);Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;115
4645;Askvoll;Kvinner;2025;Uoppgitt;Personer;17
1514;Sande (Møre og Romsdal);Menn;2025;Arbeidsinnvandrere;Prosent;38.2
5006;Steinkjer (f.o.m. 2020);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.7
3212;Nesodden;Menn;2025;Uoppgitt;Personer;370
3413;Stange;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;111
3437;Sel;Menn;2025;Alle;Personer;281
4644;Luster;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;139
4650;Gloppen;Kvinner;2025;Uoppgitt;Personer;22
5524;Målselv;Kvinner;2025;Familieinnvandrede;Personer;93
1815;Vega;Alle;2025;Arbeidsinnvandrere;Prosent;8.3
3420;Elverum;Menn;2025;Familieinnvandrede;Prosent;6.8
4014;Kragerø;Kvinner;2025;Uoppgitt;Personer;99
5036;Frosta;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;5
1505;Kristiansund;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.5
3419;Våler (Hedm.);Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;18.8
5530;Senja;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;21.4
1517;Hareid;Kvinner;2025;Familieinnvandrede;Personer;195
4223;Vennesla;Menn;2025;Arbeidsinnvandrere;Personer;280
3418;Åsnes;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.5
1121;Time;Alle;2025;Arbeidsinnvandrere;Personer;656
1579;Hustadvika;Alle;2025;Arbeidsinnvandrere;Personer;422
3122;Marker;Alle;2025;Alle;Personer;361
3314;Øvre Eiker;Kvinner;2025;Uoppgitt;Personer;167
3122;Marker;Kvinner;2025;Alle;Prosent;51.5
4026;Tinn;Alle;2025;Alle;Prosent;100.0
4646;Fjaler;Menn;2025;Uoppgitt;Prosent;4.2
5036;Frosta;Kvinner;2025;Arbeidsinnvandrere;Prosent;19.9
3418;Åsnes;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;23
4203;Arendal;Kvinner;2025;Arbeidsinnvandrere;Personer;402
4218;Iveland;Menn;2025;Uoppgitt;Personer;4
3120;Rakkestad;Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;41.6
3214;Frogn;Kvinner;2025;Familieinnvandrede;Prosent;13.8
4036;Vinje;Alle;2025;Alle;Prosent;100.0
4634;Masfjorden;Menn;2025;Arbeidsinnvandrere;Prosent;14.0
3403;Hamar;Alle;2025;Familieinnvandrede;Personer;887
3435;Vågå;Kvinner;2025;Alle;Personer;146
3443;Vestre Toten;Kvinner;2025;Uoppgitt;Personer;48
4649;Stad;Alle;2025;Uoppgitt;Personer;128
5007;Namsos (f.o.m. 2020);Alle;2025;Uoppgitt;Personer;125
5032;Selbu;Menn;2025;Familieinnvandrede;Personer;21
5534;Karlsøy;Alle;2025;Arbeidsinnvandrere;Personer;119
3110;Hvaler;Kvinner;2025;Familieinnvandrede;Prosent;18.7
3218;Ås;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;6.3
3326;Hemsedal;Alle;2025;Familieinnvandrede;Prosent;12.5
5514;Ibestad;Alle;2025;Familieinnvandrede;Prosent;19.1
1506;Molde (f.o.m. 2020);Menn;2025;Flyktninger og deres familieinnvandrede;Personer;995
3320;Flå;Menn;2025;Familieinnvandrede;Personer;22
4224;Åseral;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;17
4619;Eidfjord;Menn;2025;Uoppgitt;Personer;5
5630;Berlevåg;Kvinner;2025;Uoppgitt;Personer;14
1580;Haram (t.o.m. 2019, f.o.m. 2024);Kvinner;2025;Alle;Prosent;48.9
4003;Skien;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.5
4628;Vaksdal;Kvinner;2025;Alle;Prosent;50.3
4640;Sogndal (f.o.m. 2020);Menn;2025;Uoppgitt;Prosent;4.9
3316;Modum;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;392
5027;Midtre Gauldal;Alle;2025;Arbeidsinnvandrere;Personer;257
3242;Hurdal;Kvinner;2025;Uoppgitt;Prosent;10.3
4638;Høyanger;Kvinner;2025;Alle;Prosent;50.1
5043;Røyrvik;Alle;2025;Uoppgitt;Prosent;20.3
1832;Hemnes;Kvinner;2025;Uoppgitt;Personer;27
3122;Marker;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;6
3911;Færder;Alle;2025;Arbeidsinnvandrere;Personer;649
5014;Frøya;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;158
1826;Hattfjelldal;Kvinner;2025;Arbeidsinnvandrere;Prosent;5.5
3216;Vestby;Menn;2025;Familieinnvandrede;Prosent;7.3
4227;Kvinesdal;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.1
4618;Ullensvang (f.o.m. 2020);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;5.5
5614;Loppa;Menn;2025;Uoppgitt;Prosent;3.0
1834;Lurøy;Menn;2025;Arbeidsinnvandrere;Personer;49
