Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2020/21;Alle utdanningsprogram;vg2;Sandefjord videregående skole;654;629;4,5%;4,6;18,6
2020/21;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;520;496;3,0%;2,2;17,9
2020/21;Alle utdanningsprogram;vg3;Færder videregående skole;219;211;2,8%;2,2;11,6
2020/21;Alle utdanningsprogram;vg3;Greveskogen videregående skole;216;213;6,1%;5,4;27,3
2020/21;Alle utdanningsprogram;vg3;Holmestrand videregående skole;78;76;5,3%;4,6;26,5
2020/21;Alle utdanningsprogram;vg3;Horten videregående skole;245;241;2,8%;1,8;16,1
2020/21;Alle utdanningsprogram;vg3;Melsom videregående skole;65;64;5,9%;4,5;29,3
2020/21;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;138;136;2,2%;1,2;13,2
2020/21;Alle utdanningsprogram;vg3;Re videregående skole;183;180;2,5%;2,0;13,0
2020/21;Alle utdanningsprogram;vg3;Sande videregående skole;101;101;3,2%;2,1;18,9
2020/21;Alle utdanningsprogram;vg3;Sandefjord videregående skole;496;484;3,8%;3,7;16,1
2020/21;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;340;334;3,2%;1,8;21,4
2019/20;Alle utdanningsprogram;vg1;Færder videregående skole;238;216;3,3%;3,7;12,9
2019/20;Alle utdanningsprogram;vg1;Greveskogen videregående skole;273;249;5,1%;5,5;20,0
2019/20;Alle utdanningsprogram;vg1;Holmestrand videregående skole;97;93;4,4%;5,5;13,4
2019/20;Alle utdanningsprogram;vg1;Horten videregående skole;402;391;3,0%;4,1;8,3
2019/20;Alle utdanningsprogram;vg1;Melsom videregående skole;57;54;6,9%;9,0;20,1
2019/20;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;215;208;4,2%;5,3;12,1
2019/20;Alle utdanningsprogram;vg1;Re videregående skole;289;257;2,2%;2,7;7,1
2019/20;Alle utdanningsprogram;vg1;Sande videregående skole;165;160;3,4%;4,6;8,8
2019/20;Alle utdanningsprogram;vg1;Sandefjord videregående skole;720;680;4,3%;5,4;12,8
2019/20;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;552;519;2,7%;3,1;9,8
2019/20;Alle utdanningsprogram;vg2;Færder videregående skole;214;197;3,5%;4,0;13,7
2019/20;Alle utdanningsprogram;vg2;Greveskogen videregående skole;291;274;6,6%;6,0;30,6
2019/20;Alle utdanningsprogram;vg2;Holmestrand videregående skole;66;63;3,0%;3,6;9,8
2019/20;Alle utdanningsprogram;vg2;Horten videregående skole;343;331;4,1%;5,1;12,2
2019/20;Alle utdanningsprogram;vg2;Melsom videregående skole;60;58;5,3%;5,9;20,2
2019/20;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;152;148;5,1%;6,6;13,6
2019/20;Alle utdanningsprogram;vg2;Re videregående skole;297;278;2,8%;2,7;12,5
2019/20;Alle utdanningsprogram;vg2;Sande videregående skole;149;147;4,7%;6,1;13,3
2019/20;Alle utdanningsprogram;vg2;Sandefjord videregående skole;693;660;5,0%;6,0;16,5
2019/20;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;515;490;2,9%;3,1;11,7
2019/20;Alle utdanningsprogram;vg3;Færder videregående skole;191;175;5,3%;5,5;14,3
2019/20;Alle utdanningsprogram;vg3;Greveskogen videregående skole;260;257;5,9%;5,9;23,3
2019/20;Alle utdanningsprogram;vg3;Holmestrand videregående skole;60;46;4,9%;6,1;15,9
2019/20;Alle utdanningsprogram;vg3;Horten videregående skole;263;257;4,5%;5,1;16,2
2019/20;Alle utdanningsprogram;vg3;Melsom videregående skole;48;45;6,3%;7,6;20,6
2019/20;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;140;138;5,4%;5,3;22,1
2019/20;Alle utdanningsprogram;vg3;Re videregående skole;178;173;4,7%;6,0;13,2
2019/20;Alle utdanningsprogram;vg3;Sande videregående skole;109;109;5,5%;6,8;16,5
2019/20;Alle utdanningsprogram;vg3;Sandefjord videregående skole;458;445;4,8%;5,3;16,1
2019/20;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;338;326;3,9%;3,7;18,2
2018/19;Alle utdanningsprogram;vg1;Færder videregående skole;217;209;3,5%;4,2;12,9
2018/19;Alle utdanningsprogram;vg1;Greveskogen videregående skole;274;263;5,6%;6,1;21,3
2018/19;Alle utdanningsprogram;vg1;Holmestrand videregående skole;92;87;6,9%;8,8;20,6
2018/19;Alle utdanningsprogram;vg1;Horten videregående skole;369;346;5,7%;7,6;15,9
2018/19;Alle utdanningsprogram;vg1;Melsom videregående skole;93;89;7,9%;8,6;30,9
2018/19;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;153;145;4,1%;5,3;11,5
2018/19;Alle utdanningsprogram;vg1;Re videregående skole;303;283;4,0%;5,0;12,6
2018/19;Alle utdanningsprogram;vg1;Sande videregående skole;178;177;7,1%;9,0;21,3
2018/19;Alle utdanningsprogram;vg1;Sandefjord videregående skole;744;714;5,4%;6,3;19,1
2018/19;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;592;565;3,7%;4,2;14,0
2018/19;Alle utdanningsprogram;vg2;Færder videregående skole;209;197;3,1%;3,9;9,9
2018/19;Alle utdanningsprogram;vg2;Greveskogen videregående skole;280;276;7,8%;8,2;29,9
2018/19;Alle utdanningsprogram;vg2;Holmestrand videregående skole;58;57;5,4%;6,3;18,5
2018/19;Alle utdanningsprogram;vg2;Horten videregående skole;361;353;5,1%;6,2;16,9
2018/19;Alle utdanningsprogram;vg2;Melsom videregående skole;63;63;8,4%;8,8;33,5
2018/19;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;183;180;6,0%;5,8;25,1
2018/19;Alle utdanningsprogram;vg2;Re videregående skole;269;259;5,5%;5,4;23,2
2018/19;Alle utdanningsprogram;vg2;Sande videregående skole;127;126;7,8%;9,4;25,7
2018/19;Alle utdanningsprogram;vg2;Sandefjord videregående skole;648;622;6,4%;6,8;24,8
2018/19;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;520;510;3,8%;3,7;16,6
2018/19;Alle utdanningsprogram;vg3;Eksamenskontoret i Vestfold;1;0;-;-;-
2018/19;Alle utdanningsprogram;vg3;Færder videregående skole;214;207;5,6%;6,4;13,9
2018/19;Alle utdanningsprogram;vg3;Greveskogen videregående skole;297;292;6,8%;5,9;30,7
2018/19;Alle utdanningsprogram;vg3;Holmestrand videregående skole;73;67;11,7%;15,2;32,9
2018/19;Alle utdanningsprogram;vg3;Horten videregående skole;216;209;6,5%;7,6;21,5
2018/19;Alle utdanningsprogram;vg3;Melsom videregående skole;43;41;9,1%;10,5;32,0
2018/19;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;147;146;7,0%;7,1;27,1
2018/19;Alle utdanningsprogram;vg3;Re videregående skole;168;166;4,8%;5,2;18,0
2018/19;Alle utdanningsprogram;vg3;Sande videregående skole;123;122;8,6%;9,1;34,5
2018/19;Alle utdanningsprogram;vg3;Sandefjord videregående skole;522;512;6,6%;7,3;23,9
2018/19;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;363;343;4,8%;4,7;20,8
2017/18;Alle utdanningsprogram;vg1;Færder videregående skole;234;203;3,9%;5,1;11,0
2017/18;Alle utdanningsprogram;vg1;Greveskogen videregående skole;316;298;6,4%;7,7;20,6
2017/18;Alle utdanningsprogram;vg1;Holmestrand videregående skole;80;74;5,0%;5,9;17,3
2017/18;Alle utdanningsprogram;vg1;Horten videregående skole;386;364;4,2%;5,1;14,2
2017/18;Alle utdanningsprogram;vg1;Melsom videregående skole;76;72;6,5%;5,8;31,0
2017/18;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;186;178;6,1%;7,7;17,4
2017/18;Alle utdanningsprogram;vg1;Re videregående skole;289;280;4,6%;5,9;12,9
2017/18;Alle utdanningsprogram;vg1;Sande videregående skole;160;156;5,1%;7,0;13,3
2017/18;Alle utdanningsprogram;vg1;Sandefjord videregående skole;697;666;4,8%;5,3;18,1
2017/18;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;572;553;3,7%;4,3;13,6
2017/18;Alle utdanningsprogram;vg2;Færder videregående skole;219;208;4,5%;5,8;14,3
2017/18;Alle utdanningsprogram;vg2;Greveskogen videregående skole;338;331;6,9%;6,0;31,9
2017/18;Alle utdanningsprogram;vg2;Holmestrand videregående skole;60;56;8,5%;11,6;20,1
2017/18;Alle utdanningsprogram;vg2;Horten videregående skole;331;319;6,3%;8,4;16,4
2017/18;Alle utdanningsprogram;vg2;Melsom videregående skole;65;61;7,6%;8,3;30,0
2017/18;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;193;186;5,7%;5,3;25,0
2017/18;Alle utdanningsprogram;vg2;Re videregående skole;273;259;4,7%;5,4;16,1
2017/18;Alle utdanningsprogram;vg2;Sande videregående skole;153;150;5,7%;6,4;20,8
2017/18;Alle utdanningsprogram;vg2;Sandefjord videregående skole;689;667;5,4%;6,1;19,2
2017/18;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;562;545;3,9%;4,3;15,0
2017/18;Alle utdanningsprogram;vg3;Færder videregående skole;208;192;6,2%;6,8;14,5
2017/18;Alle utdanningsprogram;vg3;Greveskogen videregående skole;250;244;7,6%;8,2;26,7
2017/18;Alle utdanningsprogram;vg3;Holmestrand videregående skole;79;77;7,2%;10,1;16,5
2017/18;Alle utdanningsprogram;vg3;Horten videregående skole;261;256;5,0%;6,0;16,6
2017/18;Alle utdanningsprogram;vg3;Melsom videregående skole;53;44;7,3%;8,7;24,7
2017/18;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;157;154;6,0%;5,0;28,3
2017/18;Alle utdanningsprogram;vg3;Re videregående skole;203;200;5,5%;5,9;20,6
2017/18;Alle utdanningsprogram;vg3;Sande videregående skole;135;128;7,3%;8,7;25,0
2017/18;Alle utdanningsprogram;vg3;Sandefjord videregående skole;533;509;6,8%;7,5;24,8
2017/18;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;364;348;4,9%;4,9;20,0
2022/23;Alle utdanningsprogram;vg1;Vestfold;3 138;2 989;6,7%;7,3;26,0
2022/23;Alle utdanningsprogram;vg2;Vestfold;2 754;2 677;6,8%;7,2;26,8
2022/23;Alle utdanningsprogram;vg3;Vestfold;2 005;1 968;8,0%;8,7;28,7
2021/22;Alle utdanningsprogram;vg1;Vestfold;3 025;2 918;2,6%;1,6;16,2
2021/22;Alle utdanningsprogram;vg2;Vestfold;2 811;2 727;2,8%;1,7;18,1
2021/22;Alle utdanningsprogram;vg3;Vestfold;2 057;2 025;3,1%;1,6;19,6
2020/21;Alle utdanningsprogram;vg1;Vestfold;3 071;2 877;2,9%;2,8;13,1
2020/21;Alle utdanningsprogram;vg2;Vestfold;2 802;2 713;3,3%;2,7;16,8
2020/21;Alle utdanningsprogram;vg3;Vestfold;2 081;2 040;3,6%;2,8;18,2
2019/20;Alle utdanningsprogram;vg1;Vestfold;3 008;2 827;3,6%;4,5;11,6
2019/20;Alle utdanningsprogram;vg2;Vestfold;2 780;2 646;4,3%;4,8;15,5
2019/20;Alle utdanningsprogram;vg3;Vestfold;2 045;1 971;4,9%;5,3;17,5
2018/19;Alle utdanningsprogram;vg1;Vestfold;3 015;2 878;5,0%;6,0;17,0
2018/19;Alle utdanningsprogram;vg2;Vestfold;2 718;2 643;5,6%;6,0;21,6
2018/19;Alle utdanningsprogram;vg3;Vestfold;2 167;2 105;6,5%;6,9;23,9
2017/18;Alle utdanningsprogram;vg1;Vestfold;2 996;2 844;4,7%;5,6;16,0
2017/18;Alle utdanningsprogram;vg2;Vestfold;2 883;2 782;5,4%;6,0;19,6
2017/18;Alle utdanningsprogram;vg3;Vestfold;2 243;2 152;6,2%;6,8;21,9
2022/23;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;1;0;-;-;-
2022/23;Alle utdanningsprogram;Totalt;Færder videregående skole;661;632;6,8%;7,8;21,6
2022/23;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;783;769;7,9%;8,2;31,4
2022/23;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;192;178;11,6%;13,3;41,2
2022/23;Alle utdanningsprogram;Totalt;Horten videregående skole;1 039;1 013;7,1%;8,4;24,0
2022/23;Alle utdanningsprogram;Totalt;Melsom videregående skole;162;151;8,4%;9,7;30,7
2022/23;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;574;566;8,1%;9,4;27,1
2022/23;Alle utdanningsprogram;Totalt;Re videregående skole;784;771;5,8%;6,3;22,3
2022/23;Alle utdanningsprogram;Totalt;Sande videregående skole;375;366;7,1%;9,2;20,7
2022/23;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 918;1 848;7,2%;7,2;30,8
2022/23;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 408;1 340;5,9%;5,8;26,0
2021/22;Alle utdanningsprogram;Totalt;Færder videregående skole;651;620;2,4%;1,7;13,4
2021/22;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;760;746;2,0%;0,4;15,4
2021/22;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;204;197;3,8%;1,7;26,7
2021/22;Alle utdanningsprogram;Totalt;Horten videregående skole;1 046;1 014;2,4%;1,6;13,9
2021/22;Alle utdanningsprogram;Totalt;Melsom videregående skole;172;166;4,0%;2,4;25,7
2021/22;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;567;558;2,4%;1,3;14,9
2021/22;Alle utdanningsprogram;Totalt;Re videregående skole;784;771;1,8%;0,9;12,3
2021/22;Alle utdanningsprogram;Totalt;Sande videregående skole;385;381;2,3%;1,7;12,6
2021/22;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 910;1 840;3,6%;2,1;23,2
2021/22;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 414;1 377;3,3%;2,2;19,9
2020/21;Alle utdanningsprogram;Totalt;Færder videregående skole;706;672;2,8%;2,3;13,5
2020/21;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;776;758;4,2%;3,5;20,9
2020/21;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;216;210;4,2%;3,8;20,2
2020/21;Alle utdanningsprogram;Totalt;Horten videregående skole;1 044;1 020;2,3%;1,6;13,9
2020/21;Alle utdanningsprogram;Totalt;Melsom videregående skole;182;172;4,4%;3,1;24,9
2020/21;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;531;515;1,7%;0,9;11,0
2020/21;Alle utdanningsprogram;Totalt;Re videregående skole;789;753;2,0%;1,6;10,5
2020/21;Alle utdanningsprogram;Totalt;Sande videregående skole;395;386;2,3%;1,7;13,1
2020/21;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 887;1 800;4,3%;4,6;17,1
2020/21;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 428;1 344;3,2%;2,5;17,3
2019/20;Alle utdanningsprogram;Totalt;Færder videregående skole;643;588;4,0%;4,3;13,6
2019/20;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;824;780;5,9%;5,8;24,8
2019/20;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;223;202;4,1%;5,0;12,8
2019/20;Alle utdanningsprogram;Totalt;Horten videregående skole;1 008;979;3,8%;4,7;11,7
2019/20;Alle utdanningsprogram;Totalt;Melsom videregående skole;165;157;6,1%;7,5;20,3
2019/20;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;507;494;4,8%;5,7;15,3
2019/20;Alle utdanningsprogram;Totalt;Re videregående skole;764;708;3,1%;3,5;10,7
2019/20;Alle utdanningsprogram;Totalt;Sande videregående skole;423;416;4,4%;5,7;12,4
2019/20;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 871;1 785;4,7%;5,6;15,0
2019/20;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 405;1 335;3,1%;3,3;12,5
2018/19;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;1;0;-;-;-
2018/19;Alle utdanningsprogram;Totalt;Færder videregående skole;640;613;4,1%;4,8;12,3
2018/19;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;851;831;6,7%;6,7;27,5
2018/19;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;223;211;8,0%;10,2;23,9
2018/19;Alle utdanningsprogram;Totalt;Horten videregående skole;946;908;5,7%;7,0;17,6
2018/19;Alle utdanningsprogram;Totalt;Melsom videregående skole;199;193;8,3%;9,1;32,0
2018/19;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;483;471;5,7%;6,1;21,5
2018/19;Alle utdanningsprogram;Totalt;Re videregående skole;740;708;4,7%;5,2;17,7
2018/19;Alle utdanningsprogram;Totalt;Sande videregående skole;428;425;7,7%;9,1;26,4
2018/19;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 914;1 848;6,1%;6,8;22,3
2018/19;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 475;1 418;4,0%;4,2;16,6
2017/18;Alle utdanningsprogram;Totalt;Færder videregående skole;661;603;4,8%;5,9;13,2
2017/18;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;904;873;6,9%;7,2;26,6
2017/18;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;219;207;6,8%;9,0;17,8
2017/18;Alle utdanningsprogram;Totalt;Horten videregående skole;978;939;5,1%;6,4;15,6
2017/18;Alle utdanningsprogram;Totalt;Melsom videregående skole;194;177;7,1%;7,4;29,1
2017/18;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;536;518;5,9%;6,0;23,4
2017/18;Alle utdanningsprogram;Totalt;Re videregående skole;765;739;4,9%;5,7;16,1
2017/18;Alle utdanningsprogram;Totalt;Sande videregående skole;448;434;6,0%;7,3;19,3
2017/18;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 919;1 842;5,6%;6,2;20,4
2017/18;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 498;1 446;4,1%;4,4;15,7
2022/23;BA;Totalt;Vestfold;402;367;6,0%;5,8;28,6
2022/23;EL;Totalt;Vestfold;392;383;3,2%;3,3;14,7
2022/23;FD;Totalt;Vestfold;140;123;9,2%;8,5;45,4
2022/23;HS;Totalt;Vestfold;843;798;9,2%;11,7;29,2
2022/23;ID;Totalt;Vestfold;598;596;5,4%;5,8;22,5
2022/23;IM;Totalt;Vestfold;143;139;6,2%;7,1;24,3
2022/23;KD;Totalt;Vestfold;181;180;8,7%;10,9;27,9
2022/23;MD;Totalt;Vestfold;265;263;6,2%;5,6;31,4
2022/23;ME;Totalt;Vestfold;193;184;8,6%;10,0;32,0
2022/23;NA;Totalt;Vestfold;87;80;7,3%;8,0;29,5
2022/23;PB;Totalt;Vestfold;451;428;9,6%;10,4;31,8
2022/23;RM;Totalt;Vestfold;128;117;8,2%;7,5;41,5
2022/23;SR;Totalt;Vestfold;295;270;9,9%;9,6;46,8
2022/23;ST;Totalt;Vestfold;3 312;3 280;6,8%;7,2;24,4
2022/23;TP;Totalt;Vestfold;467;426;5,9%;5,9;26,5
2021/22;BA;Totalt;Vestfold;396;376;2,9%;1,8;19,3
2021/22;DH;Totalt;Vestfold;13;11;5,9%;8,9;11,0
2021/22;EL;Totalt;Vestfold;383;371;1,3%;0,6;9,5
2021/22;FD;Totalt;Vestfold;105;94;3,1%;0,8;26,0
2021/22;HS;Totalt;Vestfold;882;845;3,2%;2,5;17,7
2021/22;ID;Totalt;Vestfold;595;592;2,6%;1,8;16,4
2021/22;IM;Totalt;Vestfold;123;120;2,8%;1,6;18,9
2021/22;KD;Totalt;Vestfold;162;159;1,9%;1,4;11,4
2021/22;MD;Totalt;Vestfold;288;281;2,0%;0,8;15,1
2021/22;ME;Totalt;Vestfold;231;221;3,5%;2,4;21,3
2021/22;NA;Totalt;Vestfold;98;95;4,5%;2,9;29,4
2021/22;PB;Totalt;Vestfold;513;497;3,4%;2,0;21,1
2021/22;RM;Totalt;Vestfold;154;148;3,4%;2,7;18,6
2021/22;SR;Totalt;Vestfold;277;252;5,2%;2,8;35,8
2021/22;ST;Totalt;Vestfold;3 244;3 213;2,5%;1,2;15,3
2021/22;TP;Totalt;Vestfold;429;395;3,9%;2,0;27,8
2020/21;BA;Totalt;Vestfold;410;385;2,8%;2,7;13,5
2020/21;DH;Totalt;Vestfold;74;71;7,7%;9,1;27,5
2020/21;EL;Totalt;Vestfold;406;383;1,6%;1,0;9,8
2020/21;FD;Totalt;Vestfold;57;49;6,3%;6,9;25,2
2020/21;HS;Totalt;Vestfold;894;843;3,5%;4,0;13,5
2020/21;ID;Totalt;Vestfold;591;579;2,3%;1,4;14,7
2020/21;IM;Totalt;Vestfold;60;59;2,1%;2,1;9,3
2020/21;KD;Totalt;Vestfold;156;150;3,2%;3,5;12,6
2020/21;MD;Totalt;Vestfold;290;283;2,6%;2,0;14,6
2020/21;ME;Totalt;Vestfold;260;251;2,8%;1,7;18,9
2020/21;NA;Totalt;Vestfold;86;81;3,7%;2,6;22,9
2020/21;PB;Totalt;Vestfold;504;483;4,0%;3,2;20,3
2020/21;RM;Totalt;Vestfold;170;158;6,5%;8,7;18,4
2020/21;SR;Totalt;Vestfold;170;160;5,7%;5,6;26,5
2020/21;SS;Totalt;Vestfold;249;244;7,4%;7,1;35,2
2020/21;ST;Totalt;Vestfold;3 152;3 070;2,5%;1,7;13,5
2020/21;TP;Totalt;Vestfold;425;381;4,8%;5,1;20,6
2019/20;BA;Totalt;Vestfold;379;339;2,6%;2,8;11,4
2019/20;DH;Totalt;Vestfold;147;134;6,1%;6,9;23,3
2019/20;EL;Totalt;Vestfold;372;343;2,5%;3,3;6,8
2019/20;HS;Totalt;Vestfold;884;828;4,9%;6,6;13,4
2019/20;ID;Totalt;Vestfold;569;563;2,8%;2,9;12,6
2019/20;KD;Totalt;Vestfold;134;127;4,8%;5,9;15,9
2019/20;MD;Totalt;Vestfold;277;271;3,3%;3,1;15,6
2019/20;ME;Totalt;Vestfold;295;267;5,0%;6,2;16,5
2019/20;NA;Totalt;Vestfold;83;80;5,6%;6,6;20,2
2019/20;PB;Totalt;Vestfold;450;421;5,6%;6,3;16,1
2019/20;RM;Totalt;Vestfold;140;121;5,2%;7,2;13,1
2019/20;SS;Totalt;Vestfold;464;434;7,2%;8,0;28,1
2019/20;ST;Totalt;Vestfold;3 228;3 139;3,9%;4,2;13,8
2019/20;TP;Totalt;Vestfold;411;377;3,7%;4,6;12,3
2018/19;BA;Totalt;Vestfold;332;315;3,7%;4,2;14,0
2018/19;DH;Totalt;Vestfold;150;134;7,4%;9,1;24,2
2018/19;EL;Totalt;Vestfold;398;383;3,3%;4,3;10,1
2018/19;HS;Totalt;Vestfold;866;830;6,8%;8,9;19,6
2018/19;ID;Totalt;Vestfold;571;559;4,6%;4,8;19,5
2018/19;KD;Totalt;Vestfold;138;136;6,5%;7,4;24,7
2018/19;MD;Totalt;Vestfold;299;287;5,7%;5,3;28,1
2018/19;ME;Totalt;Vestfold;297;290;7,3%;8,8;25,5
2018/19;NA;Totalt;Vestfold;85;82;7,6%;8,6;29,7
2018/19;PB;Totalt;Vestfold;426;400;6,7%;7,9;19,2
2018/19;RM;Totalt;Vestfold;135;124;6,2%;8,9;13,8
2018/19;SS;Totalt;Vestfold;387;360;8,1%;9,8;28,1
2018/19;ST;Totalt;Vestfold;3 435;3 376;5,3%;5,3;20,9
2018/19;TP;Totalt;Vestfold;381;350;4,5%;5,0;18,2
2017/18;BA;Totalt;Vestfold;308;276;3,6%;4,2;13,6
2017/18;DH;Totalt;Vestfold;149;136;8,4%;11,7;20,7
2017/18;EL;Totalt;Vestfold;424;408;2,9%;3,6;9,3
2017/18;HS;Totalt;Vestfold;773;731;6,2%;8,4;16,5
2017/18;ID;Totalt;Vestfold;599;593;4,8%;5,3;19,6
2017/18;KD;Totalt;Vestfold;109;99;5,2%;6,6;16,0
2017/18;MD;Totalt;Vestfold;294;290;5,8%;5,6;27,8
2017/18;ME;Totalt;Vestfold;202;196;6,8%;8,5;22,6
2017/18;MK;Totalt;Vestfold;94;90;8,7%;11,3;26,0
2017/18;NA;Totalt;Vestfold;86;73;6,0%;6,0;27,4
2017/18;PB;Totalt;Vestfold;492;450;6,8%;8,2;17,7
2017/18;RM;Totalt;Vestfold;129;117;6,4%;8,8;16,1
2017/18;SS;Totalt;Vestfold;406;375;7,0%;8,7;23,3
2017/18;ST;Totalt;Vestfold;3 688;3 604;5,2%;5,3;19,9
2017/18;TP;Totalt;Vestfold;369;340;3,8%;4,6;13,0
