Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;SR;vg2;Greveskogen videregående skole;29;29;11,10 %;9,8;57,9
2023/24;SR;vg2;Horten videregående skole;17;17;15,10 %;3,5;129,6
2023/24;SR;vg2;Sandefjord videregående skole;62;60;7,20 %;5,8;40,7
2023/24;SR;vg2;Thor Heyerdahl videregående skole;41;39;8,30 %;9,7;30,2
2023/24;ST;Totalt;Vestfold;3 276;3 235;7,60 %;7,7;29,6
2023/24;ST;vg1;Vestfold;1 078;1 061;6,20 %;6,4;23,5
2023/24;ST;vg1;Greveskogen videregående skole;197;197;6,70 %;6,2;28
2023/24;ST;vg1;Holmestrand videregående skole;39;37;8,00 %;7;36,4
2023/24;ST;vg1;Horten videregående skole;150;149;4,50 %;5,6;12,8
2023/24;ST;vg1;Melsom videregående skole;16;16;13,20 %;15,3;42,6
2023/24;ST;vg1;Nøtterøy videregående skole;148;144;7,10 %;7,5;25,9
2023/24;ST;vg1;Re videregående skole;88;86;7,40 %;7,7;27,8
2023/24;ST;vg1;Sande videregående skole;57;56;6,60 %;7,7;20,8
2023/24;ST;vg1;Sandefjord videregående skole;227;222;5,60 %;5,8;21,3
2023/24;ST;vg1;Thor Heyerdahl videregående skole;156;154;5,50 %;5,3;22,8
2023/24;ST;vg2;Vestfold;1 079;1 066;8,50 %;8,2;34,4
2023/24;ST;vg2;Greveskogen videregående skole;183;182;10,00 %;9,3;41,9
2023/24;ST;vg2;Holmestrand videregående skole;30;29;9,20 %;10,6;29,7
2023/24;ST;vg2;Horten videregående skole;146;145;9,40 %;10,6;31,3
2023/24;ST;vg2;Melsom videregående skole;11;11;14,50 %;17;45,5
2023/24;ST;vg2;Nøtterøy videregående skole;162;160;9,00 %;8,5;38
2023/24;ST;vg2;Re videregående skole;80;79;6,30 %;5,7;27,6
2023/24;ST;vg2;Sande videregående skole;38;37;7,20 %;9,3;19
2023/24;ST;vg2;Sandefjord videregående skole;276;271;8,20 %;7,8;34,1
2023/24;ST;vg2;Thor Heyerdahl videregående skole;153;152;6,50 %;4,9;32,1
2023/24;ST;vg3;Vestfold;1 119;1 108;8,10 %;8,3;30,7
2023/24;ST;vg3;Greveskogen videregående skole;167;166;9,70 %;10,4;34,5
2023/24;ST;vg3;Holmestrand videregående skole;54;54;9,30 %;11;28,4
2023/24;ST;vg3;Horten videregående skole;141;139;7,30 %;8,2;24,2
2023/24;ST;vg3;Melsom videregående skole;6;5;7,40 %;8,6;24
2023/24;ST;vg3;Nøtterøy videregående skole;143;140;8,50 %;7,9;36,5
2023/24;ST;vg3;Re videregående skole;117;117;6,90 %;7,6;24,3
2023/24;ST;vg3;Sande videregående skole;38;37;10,80 %;13,7;29,3
2023/24;ST;vg3;Sandefjord videregående skole;302;299;8,00 %;8,1;31,1
2023/24;ST;vg3;Thor Heyerdahl videregående skole;151;151;6,50 %;5;32,6
2023/24;TP;Totalt;Vestfold;467;436;7,80 %;7,3;37,8
