Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;FD;Totalt;Sandefjord videregående skole;73;1;5;15;13
2023/24;HS;Totalt;Vestfold;611;42;69;46;45
2023/24;HS;Totalt;Holmestrand videregående skole;24;0;0;5;2
2023/24;HS;Totalt;Horten videregående skole;104;11;11;6;3
2023/24;HS;Totalt;Nøtterøy videregående skole;81;3;7;7;11
2023/24;HS;Totalt;Re videregående skole;122;6;5;3;2
2023/24;HS;Totalt;Sande videregående skole;37;3;5;5;7
2023/24;HS;Totalt;Sandefjord videregående skole;144;13;35;15;18
2023/24;HS;Totalt;Thor Heyerdahl videregående skole;99;6;6;5;2
2023/24;ID;Totalt;Vestfold;519;6;46;17;7
2023/24;ID;Totalt;Horten videregående skole;74;0;8;7;1
2023/24;ID;Totalt;Re videregående skole;153;2;15;2;2
2023/24;ID;Totalt;Sande videregående skole;53;0;5;2;3
2023/24;ID;Totalt;Sandefjord videregående skole;84;1;4;4;0
2023/24;ID;Totalt;Thor Heyerdahl videregående skole;155;3;14;2;1
2023/24;IM;Totalt;Vestfold;135;5;3;7;4
2023/24;IM;Totalt;Greveskogen videregående skole;56;1;2;3;1
2023/24;IM;Totalt;Horten videregående skole;25;4;0;0;2
2023/24;IM;Totalt;Sandefjord videregående skole;54;0;1;4;1
2023/24;KD;Totalt;Vestfold;135;17;18;14;9
2023/24;KD;Totalt;Færder videregående skole;82;9;8;7;4
2023/24;KD;Totalt;Sandefjord videregående skole;53;8;10;7;5
2023/24;MD;Totalt;Vestfold;216;17;9;17;10
2023/24;MD;Totalt;Greveskogen videregående skole;56;3;3;7;6
2023/24;MD;Totalt;Sandefjord videregående skole;102;11;3;6;3
2023/24;MD;Totalt;Thor Heyerdahl videregående skole;58;3;3;4;1
2023/24;ME;Totalt;Vestfold;129;11;20;7;7
2023/24;ME;Totalt;Horten videregående skole;57;4;11;1;3
2023/24;ME;Totalt;Melsom videregående skole;19;2;1;2;2
2023/24;ME;Totalt;Sande videregående skole;6;0;1;0;0
2023/24;ME;Totalt;Thor Heyerdahl videregående skole;47;5;7;4;2
2023/24;NA;Totalt;Vestfold;65;4;3;4;1
2023/24;NA;Totalt;Melsom videregående skole;65;4;3;4;1
2023/24;PB;Totalt;Vestfold;352;14;53;29;20
2023/24;PB;Totalt;Færder videregående skole;101;3;14;4;9
2023/24;PB;Totalt;Holmestrand videregående skole;18;1;15;2;2
2023/24;PB;Totalt;Horten videregående skole;45;3;5;4;0
2023/24;PB;Totalt;Melsom videregående skole;20;0;4;2;2
2023/24;PB;Totalt;Nøtterøy videregående skole;12;0;0;2;0
2023/24;PB;Totalt;Re videregående skole;29;1;0;0;1
2023/24;PB;Totalt;Sande videregående skole;23;1;2;1;0
2023/24;PB;Totalt;Sandefjord videregående skole;65;2;4;4;3
2023/24;PB;Totalt;Thor Heyerdahl videregående skole;39;3;9;10;3
2023/24;RM;Totalt;Vestfold;90;5;7;22;15
2023/24;RM;Totalt;Greveskogen videregående skole;45;2;3;9;5
2023/24;RM;Totalt;Holmestrand videregående skole;6;0;0;3;3
2023/24;RM;Totalt;Sandefjord videregående skole;23;1;3;4;1
2023/24;RM;Totalt;Thor Heyerdahl videregående skole;16;2;1;6;6
2023/24;SR;Totalt;Vestfold;282;7;10;30;21
2023/24;SR;Totalt;Greveskogen videregående skole;58;2;2;6;8
2023/24;SR;Totalt;Horten videregående skole;26;0;0;8;2
2023/24;SR;Totalt;Sandefjord videregående skole;124;4;6;9;8
2023/24;SR;Totalt;Thor Heyerdahl videregående skole;74;1;2;7;3
2023/24;ST;Totalt;Vestfold;2 724;72;259;181;41
2023/24;ST;Totalt;Færder videregående skole;0;1;0;0;0
2023/24;ST;Totalt;Greveskogen videregående skole;453;18;48;26;2
2023/24;ST;Totalt;Holmestrand videregående skole;88;5;14;13;3
2023/24;ST;Totalt;Horten videregående skole;380;9;19;25;4
2023/24;ST;Totalt;Melsom videregående skole;28;1;1;2;1
2023/24;ST;Totalt;Nøtterøy videregående skole;391;3;29;21;9
2023/24;ST;Totalt;Re videregående skole;242;5;24;11;3
2023/24;ST;Totalt;Sande videregående skole;104;3;11;12;3
2023/24;ST;Totalt;Sandefjord videregående skole;642;21;84;45;13
2023/24;ST;Totalt;Thor Heyerdahl videregående skole;396;6;29;26;3
2023/24;TP;Totalt;Vestfold;337;35;22;43;30
2023/24;TP;Totalt;Eksamenskontoret i Vestfold;0;1;0;0;0
2023/24;TP;Totalt;Færder videregående skole;125;15;9;9;10
2023/24;TP;Totalt;Holmestrand videregående skole;7;4;0;2;2
2023/24;TP;Totalt;Horten videregående skole;26;2;0;9;2
2023/24;TP;Totalt;Sande videregående skole;21;2;0;2;5
2023/24;TP;Totalt;Sandefjord videregående skole;70;7;9;14;7
2023/24;TP;Totalt;Thor Heyerdahl videregående skole;88;4;4;7;4
2023/24;Alle utdanningsprogram;vg 1;Vestfold;2 428;154;170;163;152
2023/24;Alle utdanningsprogram;vg 1;Færder videregående skole;185;32;13;7;13
2023/24;Alle utdanningsprogram;vg 1;Greveskogen videregående skole;278;14;20;13;16
2023/24;Alle utdanningsprogram;vg 1;Holmestrand videregående skole;56;7;2;11;8
2023/24;Alle utdanningsprogram;vg 1;Horten videregående skole;331;20;20;19;17
2023/24;Alle utdanningsprogram;vg 1;Melsom videregående skole;59;4;3;3;2
2023/24;Alle utdanningsprogram;vg 1;Nøtterøy videregående skole;151;5;19;10;11
2023/24;Alle utdanningsprogram;vg 1;Re videregående skole;251;12;14;12;10
2023/24;Alle utdanningsprogram;vg 1;Sande videregående skole;114;4;14;11;14
2023/24;Alle utdanningsprogram;vg 1;Sandefjord videregående skole;541;30;55;41;40
2023/24;Alle utdanningsprogram;vg 1;Thor Heyerdahl videregående skole;462;26;10;36;21
2023/24;Alle utdanningsprogram;vg 2;Vestfold;2 181;79;244;195;75
2023/24;Alle utdanningsprogram;vg 2;Færder videregående skole;191;13;18;11;8
2023/24;Alle utdanningsprogram;vg 2;Greveskogen videregående skole;228;9;27;21;5
2023/24;Alle utdanningsprogram;vg 2;Holmestrand videregående skole;27;1;4;9;2
2023/24;Alle utdanningsprogram;vg 2;Horten videregående skole;270;10;24;40;7
2023/24;Alle utdanningsprogram;vg 2;Melsom videregående skole;40;2;2;4;0
2023/24;Alle utdanningsprogram;vg 2;Nøtterøy videregående skole;180;1;9;12;6
2023/24;Alle utdanningsprogram;vg 2;Re videregående skole;229;2;29;9;7
2023/24;Alle utdanningsprogram;vg 2;Sande videregående skole;92;3;10;6;3
2023/24;Alle utdanningsprogram;vg 2;Sandefjord videregående skole;506;28;77;56;25
2023/24;Alle utdanningsprogram;vg 2;Thor Heyerdahl videregående skole;418;10;44;27;12
2023/24;Alle utdanningsprogram;vg 3;Vestfold;1 720;47;171;107;37
2023/24;Alle utdanningsprogram;vg 3;Eksamenskontoret i Vestfold;0;2;0;0;0
2023/24;Alle utdanningsprogram;vg 3;Færder videregående skole;141;4;17;7;9
2023/24;Alle utdanningsprogram;vg 3;Greveskogen videregående skole;162;3;11;17;1
2023/24;Alle utdanningsprogram;vg 3;Holmestrand videregående skole;60;2;23;5;2
2023/24;Alle utdanningsprogram;vg 3;Horten videregående skole;222;7;26;10;3
2023/24;Alle utdanningsprogram;vg 3;Melsom videregående skole;33;1;4;3;4
2023/24;Alle utdanningsprogram;vg 3;Nøtterøy videregående skole;153;0;8;8;3
2023/24;Alle utdanningsprogram;vg 3;Re videregående skole;187;2;12;3;2
2023/24;Alle utdanningsprogram;vg 3;Sande videregående skole;75;2;7;5;2
2023/24;Alle utdanningsprogram;vg 3;Sandefjord videregående skole;439;18;34;30;7
2023/24;Alle utdanningsprogram;vg 3;Thor Heyerdahl videregående skole;248;6;29;19;4
2023/24;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;0;2;0;0;0
2023/24;Alle utdanningsprogram;Totalt;Færder videregående skole;517;49;48;25;30
2023/24;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;668;26;58;51;22
2023/24;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;143;10;29;25;12
2023/24;Alle utdanningsprogram;Totalt;Horten videregående skole;823;37;70;69;27
2023/24;Alle utdanningsprogram;Totalt;Melsom videregående skole;132;7;9;10;6
2023/24;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;484;6;36;30;20
2023/24;Alle utdanningsprogram;Totalt;Re videregående skole;667;16;55;24;19
2023/24;Alle utdanningsprogram;Totalt;Sande videregående skole;281;9;31;22;19
2023/24;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 486;76;166;127;72
2023/24;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 128;42;83;82;37
