Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Standpunkt;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Thor Heyerdahl videregående skole;4,2;78
Standpunkt;2024-25;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Greveskogen videregående skole;3,1;24
Standpunkt;2024-25;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Horten videregående skole;3,2;12
Standpunkt;2024-25;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Sandefjord videregående skole;3,2;25
Standpunkt;2024-25;3;MAT1123;Matematikk 1P-Y NA;Vestfold;Gjennestad videregående skole;3,8;6
Standpunkt;2024-25;3;MAT1123;Matematikk 1P-Y NA;Vestfold;Melsom videregående skole;2,8;37
Standpunkt;2024-25;3;MAT1125;Matematikk 1P-Y RM;Vestfold;Greveskogen videregående skole;3,9;25
Standpunkt;2024-25;3;MAT1125;Matematikk 1P-Y RM;Vestfold;Sandefjord videregående skole;3,4;19
Standpunkt;2024-25;3;MAT1125;Matematikk 1P-Y RM;Vestfold;Thor Heyerdahl videregående skole;2,8;11
Standpunkt;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Gjennestad videregående skole;3,8;12
Standpunkt;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Greveskogen videregående skole;2,9;36
Standpunkt;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Horten videregående skole;3;15
Standpunkt;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Sandefjord videregående skole;3,1;55
Standpunkt;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Thor Heyerdahl videregående skole;3,1;36
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Færder videregående skole;3,4;50
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Holmestrand videregående skole;2,9;21
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Horten videregående skole;3,6;17
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Sande videregående skole;3,5;24
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Sandefjord videregående skole;2,5;36
Standpunkt;2024-25;3;MAT1129;Matematikk 1P-Y TP;Vestfold;Thor Heyerdahl videregående skole;3,8;67
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Færder videregående skole;3,9;39
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Greveskogen videregående skole;4,2;197
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Holmestrand videregående skole;4,1;26
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Horten videregående skole;4,1;203
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Melsom videregående skole;3,6;13
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Nøtterøy videregående skole;4;166
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Re videregående skole;4,1;167
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Sande videregående skole;4;64
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Sandefjord videregående skole;4,1;370
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Thor Heyerdahl videregående skole;4,1;242
Standpunkt;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Wang Tønsberg AS;4,1;66
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Greveskogen videregående skole;4,2;39
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Horten videregående skole;4,3;59
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Nøtterøy videregående skole;3,8;22
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Re videregående skole;3,4;16
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Sandefjord videregående skole;4;33
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Thor Heyerdahl videregående skole;4,3;25
Standpunkt;2024-25;3;REA3058;Matematikk R2;Vestfold;Wang Tønsberg AS;4,2;19
Skriftlig;2024-25;1;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Alle fylker;Alle skoler;4,2;3 173
Skriftlig;2024-25;1;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Alle fylker;Alle skoler;3,4;2 323
Skriftlig;2024-25;1;MAT1023;Matematikk 2P;Alle fylker;Alle skoler;3;5 028
Skriftlig;2024-25;1;MAT1111;Matematikk 1P-Y BA;Alle fylker;Alle skoler;2,6;130
Skriftlig;2024-25;1;MAT1113;Matematikk 1P-Y EL;Alle fylker;Alle skoler;3,6;329
Skriftlig;2024-25;1;MAT1115;Matematikk 1P-Y FD;Alle fylker;Alle skoler;2,1;21
