Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2019;Vestfold;TØNSBERG;Granly skole;38;43,8
2019;Vestfold;TØNSBERG;Kongseik ungdomsskole;63;41,2
2019;Vestfold;TØNSBERG;Presterød ungdomsskole;116;42,0
2019;Vestfold;TØNSBERG;Revetal ungdomsskole;85;42,1
2019;Vestfold;TØNSBERG;Ringshaug ungdomsskole;69;44,0
2019;Vestfold;TØNSBERG;Tønsberg kommune læringssenter;11;24,4
2019;Vestfold;TØNSBERG;Tønsberg Montessori skole;6;39,1
2019;Vestfold;TØNSBERG;Vear Kombinerte skole;25;42,8
2019;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);25;43,6
2018;Vestfold;Vestfold;Vestfold;2 440;41,3
2018;Vestfold;FÆRDER;Færder;252;41,7
2018;Vestfold;FÆRDER;Borgheim ungdomsskole;125;42,6
2018;Vestfold;FÆRDER;Teigar ungdomsskole;85;41,1
2018;Vestfold;FÆRDER;Tjøme ungdomsskole;42;40,4
2018;Vestfold;HOLMESTRAND;Holmestrand;220;41,3
2018;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;94;42,2
2018;Vestfold;HOLMESTRAND;Hof skole;34;40,8
2018;Vestfold;HOLMESTRAND;Sande ungdomsskole;92;40,4
2018;Vestfold;HORTEN;Horten;246;41,6
2018;Vestfold;HORTEN;Bakkeåsen skole;2;31,0
2018;Vestfold;HORTEN;Borre ungdomsskole;79;43,5
2018;Vestfold;HORTEN;Holtan ungdomsskole;108;41,0
2018;Vestfold;HORTEN;Horten kommunale voksenopplæring;6;28,9
2018;Vestfold;HORTEN;Orerønningen ungdomsskole;51;41,7
2018;Vestfold;LARVIK;Larvik;495;40,9
2018;Vestfold;LARVIK;_ Lardal ungdomsskole;25;41,1
2018;Vestfold;LARVIK;Brunla ungdomsskole;63;41,1
2018;Vestfold;LARVIK;Hedrum ungdomsskole;96;40,7
2018;Vestfold;LARVIK;Kvelde skole;29;39,6
2018;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;34;25,7
2018;Vestfold;LARVIK;Mellomhagen ungdomsskole;64;44,6
2018;Vestfold;LARVIK;Mesterfjellet skole;53;41,9
2018;Vestfold;LARVIK;Ra ungdomsskole;85;43,9
2018;Vestfold;LARVIK;Tjodalyng skole;46;41,7
2018;Vestfold;SANDEFJORD;Sandefjord;662;41,0
2018;Vestfold;SANDEFJORD;Andebu ungdomsskole;60;41,9
2018;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;154;41,3
2018;Vestfold;SANDEFJORD;Bugården ungdomsskole;111;39,1
2018;Vestfold;SANDEFJORD;Moe skole;20;46,2
2018;Vestfold;SANDEFJORD;Mokollen skole;10;35,9
2018;Vestfold;SANDEFJORD;Ranvik ungdomsskole;121;42,0
2018;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;10;34,3
2018;Vestfold;SANDEFJORD;Stokke ungdomsskole;80;40,6
2018;Vestfold;SANDEFJORD;Varden ungdomsskole;96;41,5
2018;Vestfold;TØNSBERG;Tønsberg;565;41,6
2018;Vestfold;TØNSBERG;Byskogen Kombinerte skole;73;39,7
2018;Vestfold;TØNSBERG;Elihu Kristne grunnskole;18;46,1
2018;Vestfold;TØNSBERG;Granly skole;33;45,7
2018;Vestfold;TØNSBERG;Kongseik ungdomsskole;70;42,6
2018;Vestfold;TØNSBERG;Presterød ungdomsskole;113;42,6
2018;Vestfold;TØNSBERG;Revetal ungdomsskole;84;41,6
2018;Vestfold;TØNSBERG;Ringshaug ungdomsskole;69;43,4
2018;Vestfold;TØNSBERG;Tønsberg kommune læringssenter;25;26,7
2018;Vestfold;TØNSBERG;Tønsberg Montessori skole;12;43,6
2018;Vestfold;TØNSBERG;Vear Kombinerte skole;41;41,0
2018;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);27;40,3
2017;Vestfold;Vestfold;Vestfold;2 472;41,2
2017;Vestfold;FÆRDER;Færder;268;41,7
2017;Vestfold;FÆRDER;Borgheim ungdomsskole;135;42,4
2017;Vestfold;FÆRDER;Teigar ungdomsskole;101;41,5
2017;Vestfold;FÆRDER;Tjøme ungdomsskole;32;39,2
2017;Vestfold;HOLMESTRAND;Holmestrand;217;41,2
2017;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;99;41,1
2017;Vestfold;HOLMESTRAND;Hof skole;38;39,1
2017;Vestfold;HOLMESTRAND;Sande ungdomsskole;80;42,3
2017;Vestfold;HORTEN;Horten;302;41,9
2017;Vestfold;HORTEN;Bakkeåsen skole;5;27,5
2017;Vestfold;HORTEN;Borre ungdomsskole;95;42,8
2017;Vestfold;HORTEN;Holtan ungdomsskole;129;42,3
2017;Vestfold;HORTEN;Horten kommunale voksenopplæring;2;34,5
2017;Vestfold;HORTEN;Orerønningen ungdomsskole;71;41,3
2017;Vestfold;LARVIK;Larvik;491;41,1
2017;Vestfold;LARVIK;_ Lardal ungdomsskole;26;42,2
2017;Vestfold;LARVIK;Brunla ungdomsskole;65;40,8
2017;Vestfold;LARVIK;Hedrum ungdomsskole;91;39,4
2017;Vestfold;LARVIK;Kvelde skole;33;42,6
2017;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;13;25,2
2017;Vestfold;LARVIK;Mellomhagen ungdomsskole;49;42,4
2017;Vestfold;LARVIK;Mesterfjellet skole;51;41,4
2017;Vestfold;LARVIK;Ra ungdomsskole;106;42,6
2017;Vestfold;LARVIK;Tjodalyng skole;57;42,2
