Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2018/19;Greveskogen videregående skole;vg 1;Service og samferdsel;59,1%;0,0%;18,2%;11,4%;11,4%
2019/20;Greveskogen videregående skole;vg 1;Service og samferdsel;56,9%;0,0%;8,3%;31,9%;2,8%
2017/18;Greveskogen videregående skole;vg 1;Service og samferdsel;48,7%;0,0%;5,1%;28,2%;17,9%
2019/20;Greveskogen videregående skole;vg 2;Service og samferdsel;77,0%;0,0%;0,0%;14,8%;8,2%
2018/19;Greveskogen videregående skole;vg 2;Service og samferdsel;75,9%;0,0%;3,4%;20,7%;0,0%
2017/18;Greveskogen videregående skole;vg 2;Service og samferdsel;75,6%;12,2%;0,0%;12,2%;0,0%
2020/21;Greveskogen videregående skole;vg 2;Service og samferdsel;69,6%;0,0%;0,0%;29,0%;1,4%
2020/21;Greveskogen videregående skole;vg 1;Studiespesialisering;96,0%;0,0%;2,3%;1,7%;0,0%
2019/20;Greveskogen videregående skole;vg 1;Studiespesialisering;91,8%;0,7%;2,7%;4,8%;0,0%
2018/19;Greveskogen videregående skole;vg 1;Studiespesialisering;91,0%;0,0%;3,4%;5,1%;0,6%
2021/22;Greveskogen videregående skole;vg 1;Studiespesialisering;89,8%;1,1%;4,0%;3,4%;1,7%
2017/18;Greveskogen videregående skole;vg 1;Studiespesialisering;84,8%;0,0%;3,7%;10,1%;1,4%
2022/23;Greveskogen videregående skole;vg 1;Studiespesialisering;83,2%;2,4%;1,9%;10,1%;2,4%
2021/22;Greveskogen videregående skole;vg 2;Studiespesialisering;92,6%;0,6%;2,3%;3,4%;1,1%
2020/21;Greveskogen videregående skole;vg 2;Studiespesialisering;91,2%;0,0%;2,7%;5,4%;0,7%
2018/19;Greveskogen videregående skole;vg 2;Studiespesialisering;86,8%;0,0%;7,1%;5,6%;0,5%
2022/23;Greveskogen videregående skole;vg 2;Studiespesialisering;84,9%;2,3%;6,4%;5,2%;1,2%
2017/18;Greveskogen videregående skole;vg 2;Studiespesialisering;81,0%;0,4%;5,4%;11,2%;2,1%
2019/20;Greveskogen videregående skole;vg 2;Studiespesialisering;79,3%;0,6%;1,7%;12,8%;5,6%
2020/21;Greveskogen videregående skole;vg 3;Studiespesialisering;92,0%;0,0%;1,6%;4,8%;1,6%
2022/23;Greveskogen videregående skole;vg 3;Studiespesialisering;91,5%;0,6%;3,4%;4,5%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Studiespesialisering;90,2%;0,0%;0,0%;9,4%;0,4%
2021/22;Greveskogen videregående skole;vg 3;Studiespesialisering;89,3%;4,1%;3,0%;1,8%;1,8%
2017/18;Greveskogen videregående skole;vg 3;Studiespesialisering;84,0%;0,0%;4,2%;9,9%;1,9%
2018/19;Greveskogen videregående skole;vg 3;Studiespesialisering;83,9%;0,0%;5,6%;8,4%;2,0%
2022/23;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;90,9%;0,0%;4,5%;0,0%;4,5%
2018/19;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;88,9%;0,0%;0,0%;11,1%;0,0%
