Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;PB;vg3;Thor Heyerdahl videregående skole;64;61;15,0%;15,7;64,5
2023/24;RM;Totalt;Vestfold;139;124;9,2%;10,8;33,5
2023/24;RM;vg1;Vestfold;85;74;11,3%;13,7;39,0
2023/24;RM;vg1;Greveskogen videregående skole;38;36;10,9%;13,1;37,8
2023/24;RM;vg1;Holmestrand videregående skole;12;9;9,9%;0,3;95,7
2023/24;RM;vg1;Sandefjord videregående skole;17;16;11,7%;16,8;26,2
2023/24;RM;vg1;Thor Heyerdahl videregående skole;18;13;13,0%;20,8;18,8
2023/24;RM;vg2;Vestfold;54;50;6,1%;6,5;25,5
2023/24;RM;vg2;Greveskogen videregående skole;26;23;5,3%;5,2;25,2
2023/24;RM;vg2;Sandefjord videregående skole;15;15;6,5%;4,9;38,0
2023/24;RM;vg2;Thor Heyerdahl videregående skole;13;12;7,1%;11,3;10,5
2023/24;SR;Totalt;Vestfold;350;329;8,8%;7,4;47,1
2023/24;SR;vg1;Vestfold;201;184;8,4%;7,5;43,6
2023/24;SR;vg1;Greveskogen videregående skole;47;39;12,0%;12,0;54,4
2023/24;SR;vg1;Horten videregående skole;19;17;11,8%;6,4;81,6
2023/24;SR;vg1;Sandefjord videregående skole;89;83;6,5%;5,0;37,6
2023/24;SR;vg1;Thor Heyerdahl videregående skole;46;45;7,6%;8,4;30,7
2023/24;SR;vg2;Vestfold;149;145;9,2%;7,4;51,7
2023/24;SR;vg2;Greveskogen videregående skole;29;29;11,1%;9,8;57,9
2023/24;SR;vg2;Horten videregående skole;17;17;15,1%;3,5;129,6
2023/24;SR;vg2;Sandefjord videregående skole;62;60;7,2%;5,8;40,7
2023/24;SR;vg2;Thor Heyerdahl videregående skole;41;39;8,3%;9,7;30,2
2023/24;ST;Totalt;Vestfold;3 276;3 235;7,6%;7,7;29,6
2023/24;ST;vg1;Vestfold;1 078;1 061;6,2%;6,4;23,5
2023/24;ST;vg1;Greveskogen videregående skole;197;197;6,7%;6,2;28,0
2023/24;ST;vg1;Holmestrand videregående skole;39;37;8,0%;7,0;36,4
2023/24;ST;vg1;Horten videregående skole;150;149;4,5%;5,6;12,8
2023/24;ST;vg1;Melsom videregående skole;16;16;13,2%;15,3;42,6
2023/24;ST;vg1;Nøtterøy videregående skole;148;144;7,1%;7,5;25,9
2023/24;ST;vg1;Re videregående skole;88;86;7,4%;7,7;27,8
2023/24;ST;vg1;Sande videregående skole;57;56;6,6%;7,7;20,8
2023/24;ST;vg1;Sandefjord videregående skole;227;222;5,6%;5,8;21,3
2023/24;ST;vg1;Thor Heyerdahl videregående skole;156;154;5,5%;5,3;22,8
2023/24;ST;vg2;Vestfold;1 079;1 066;8,5%;8,2;34,4
2023/24;ST;vg2;Greveskogen videregående skole;183;182;10,0%;9,3;41,9
2023/24;ST;vg2;Holmestrand videregående skole;30;29;9,2%;10,6;29,7
2023/24;ST;vg2;Horten videregående skole;146;145;9,4%;10,6;31,3
2023/24;ST;vg2;Melsom videregående skole;11;11;14,5%;17,0;45,5
2023/24;ST;vg2;Nøtterøy videregående skole;162;160;9,0%;8,5;38,0
2023/24;ST;vg2;Re videregående skole;80;79;6,3%;5,7;27,6
2023/24;ST;vg2;Sande videregående skole;38;37;7,2%;9,3;19,0
2023/24;ST;vg2;Sandefjord videregående skole;276;271;8,2%;7,8;34,1
2023/24;ST;vg2;Thor Heyerdahl videregående skole;153;152;6,5%;4,9;32,1
2023/24;ST;vg3;Vestfold;1 119;1 108;8,1%;8,3;30,7
2023/24;ST;vg3;Greveskogen videregående skole;167;166;9,7%;10,4;34,5
2023/24;ST;vg3;Holmestrand videregående skole;54;54;9,3%;11,0;28,4
2023/24;ST;vg3;Horten videregående skole;141;139;7,3%;8,2;24,2
2023/24;ST;vg3;Melsom videregående skole;6;5;7,4%;8,6;24,0
2023/24;ST;vg3;Nøtterøy videregående skole;143;140;8,5%;7,9;36,5
2023/24;ST;vg3;Re videregående skole;117;117;6,9%;7,6;24,3
2023/24;ST;vg3;Sande videregående skole;38;37;10,8%;13,7;29,3
2023/24;ST;vg3;Sandefjord videregående skole;302;299;8,0%;8,1;31,1
2023/24;ST;vg3;Thor Heyerdahl videregående skole;151;151;6,5%;5,0;32,6
2023/24;TP;Totalt;Vestfold;467;436;7,8%;7,3;37,8
2023/24;TP;vg1;Vestfold;244;223;9,0%;7,9;46,4
2023/24;TP;vg1;Færder videregående skole;79;74;6,2%;7,4;22,3
2023/24;TP;vg1;Holmestrand videregående skole;15;13;15,4%;21,4;38,6
2023/24;TP;vg1;Horten videregående skole;25;23;11,3%;11,0;52,7
2023/24;TP;vg1;Sande videregående skole;11;7;14,7%;21,6;31,1
2023/24;TP;vg1;Sandefjord videregående skole;60;55;11,7%;6,7;79,5
2023/24;TP;vg1;Thor Heyerdahl videregående skole;54;51;6,5%;3,2;47,2
2023/24;TP;vg2;Vestfold;222;213;6,5%;6,6;28,8
2023/24;TP;vg2;Færder videregående skole;89;84;5,8%;8,6;11,7
2023/24;TP;vg2;Horten videregående skole;14;14;11,0%;1,1;102,3
2023/24;TP;vg2;Sande videregående skole;19;18;9,2%;10,1;36,8
2023/24;TP;vg2;Sandefjord videregående skole;47;45;7,8%;5,9;46,1
2023/24;TP;vg2;Thor Heyerdahl videregående skole;53;52;4,3%;4,3;19,0
2023/24;TP;vg3;Vestfold;1;0;0,0%;0,0;0,0
2023/24;TP;vg3;Eksamenskontoret i Vestfold;1;0;0,0%;0,0;0,0
2023/24;FD;Totalt;Eksamenskontoret i Vestfold;1;0;0,0%;0,0;0,0
2023/24;TP;Totalt;Eksamenskontoret i Vestfold;1;0;0,0%;0,0;0,0
2023/24;BA;Totalt;Færder videregående skole;132;126;6,3%;8,2;18,4
2023/24;EL;Totalt;Færder videregående skole;127;126;5,0%;6,6;14,1
2023/24;KD;Totalt;Færder videregående skole;110;106;7,6%;9,7;23,9
2023/24;PB;Totalt;Færder videregående skole;131;122;8,0%;9,0;18,7
2023/24;TP;Totalt;Færder videregående skole;168;158;6,0%;8,0;16,7
2023/24;IM;Totalt;Greveskogen videregående skole;63;62;6,8%;6,8;31,0
2023/24;MD;Totalt;Greveskogen videregående skole;75;69;10,6%;11,5;43,1
2023/24;RM;Totalt;Greveskogen videregående skole;64;59;8,7%;10,0;32,9
2023/24;SR;Totalt;Greveskogen videregående skole;76;68;11,6%;11,1;55,9
2023/24;ST;Totalt;Greveskogen videregående skole;547;545;8,7%;8,5;34,6
2023/24;HS;Totalt;Holmestrand videregående skole;31;29;13,8%;16,3;50,1
2023/24;PB;Totalt;Holmestrand videregående skole;38;36;15,1%;18,3;38,3
2023/24;RM;Totalt;Holmestrand videregående skole;12;9;9,9%;0,3;95,7
2023/24;ST;Totalt;Holmestrand videregående skole;123;120;8,9%;9,7;31,2
2023/24;TP;Totalt;Holmestrand videregående skole;15;13;15,4%;21,4;38,6
2023/24;EL;Totalt;Horten videregående skole;80;79;4,4%;5,8;12,7
2023/24;FD;Totalt;Horten videregående skole;45;36;14,2%;19,0;39,3
2023/24;HS;Totalt;Horten videregående skole;135;132;9,9%;12,7;30,1
2023/24;ID;Totalt;Horten videregående skole;90;89;6,5%;6,1;31,7
2023/24;IM;Totalt;Horten videregående skole;31;29;6,5%;9,1;15,9
2023/24;ME;Totalt;Horten videregående skole;76;73;9,4%;11,9;29,4
2023/24;PB;Totalt;Horten videregående skole;57;57;8,5%;9,9;32,1
2023/24;SR;Totalt;Horten videregående skole;36;34;13,4%;5,0;105,6
2023/24;ST;Totalt;Horten videregående skole;437;433;7,0%;8,1;22,7
2023/24;TP;Totalt;Horten videregående skole;39;37;11,2%;7,3;71,4
2023/24;ME;Totalt;Melsom videregående skole;26;24;12,6%;18,8;25,4
2023/24;NA;Totalt;Melsom videregående skole;77;76;7,2%;8,2;27,9
2023/24;PB;Totalt;Melsom videregående skole;28;26;6,8%;7,0;21,2
2023/24;ST;Totalt;Melsom videregående skole;33;32;12,8%;14,8;40,7
2023/24;HS;Totalt;Nøtterøy videregående skole;109;98;9,6%;12,1;31,3
2023/24;PB;Totalt;Nøtterøy videregående skole;14;14;9,0%;11,7;26,9
2023/24;ST;Totalt;Nøtterøy videregående skole;453;444;8,2%;8,0;33,6
2023/24;BA;Totalt;Re videregående skole;153;142;4,4%;3,6;24,4
2023/24;HS;Totalt;Re videregående skole;138;136;7,9%;10,3;23,7
2023/24;ID;Totalt;Re videregående skole;174;172;4,7%;4,4;23,0
2023/24;PB;Totalt;Re videregående skole;31;30;5,4%;7,7;12,3
2023/24;ST;Totalt;Re videregående skole;285;282;6,9%;7,1;26,3
2023/24;EL;Totalt;Sande videregående skole;45;44;6,0%;7,1;21,4
2023/24;HS;Totalt;Sande videregående skole;57;50;9,5%;13,4;23,4
2023/24;ID;Totalt;Sande videregående skole;63;60;8,9%;10,0;34,6
2023/24;ME;Totalt;Sande videregående skole;7;7;7,9%;11,0;20,1
2023/24;PB;Totalt;Sande videregående skole;27;27;9,5%;11,5;32,9
2023/24;ST;Totalt;Sande videregående skole;133;130;8,0%;9,8;22,7
2023/24;TP;Totalt;Sande videregående skole;30;25;10,7%;13,3;35,2
2023/24;EL;Totalt;Sandefjord videregående skole;61;61;4,3%;5,9;11,4
2023/24;FD;Totalt;Sandefjord videregående skole;107;94;10,6%;10,8;47,0
2023/24;HS;Totalt;Sandefjord videregående skole;225;207;12,4%;14,2;47,0
2023/24;ID;Totalt;Sandefjord videregående skole;93;93;4,8%;5,1;20,5
2023/24;IM;Totalt;Sandefjord videregående skole;60;59;5,6%;5,4;26,5
2023/24;KD;Totalt;Sandefjord videregående skole;83;78;11,8%;13,1;46,9
2023/24;MD;Totalt;Sandefjord videregående skole;125;122;6,2%;4,2;38,5
2023/24;PB;Totalt;Sandefjord videregående skole;78;75;12,3%;11,6;53,3
2023/24;RM;Totalt;Sandefjord videregående skole;32;31;9,2%;11,0;31,9
2023/24;SR;Totalt;Sandefjord videregående skole;151;143;6,8%;5,3;38,9
2023/24;ST;Totalt;Sandefjord videregående skole;805;792;7,4%;7,4;29,4
2023/24;TP;Totalt;Sandefjord videregående skole;107;100;10,0%;6,3;64,5
2023/24;BA;Totalt;Thor Heyerdahl videregående skole;101;91;8,0%;11,0;21,0
2023/24;EL;Totalt;Thor Heyerdahl videregående skole;95;93;4,6%;4,7;20,3
2023/24;HS;Totalt;Thor Heyerdahl videregående skole;118;116;6,9%;9,5;18,0
2023/24;ID;Totalt;Thor Heyerdahl videregående skole;175;174;5,8%;5,0;30,8
2023/24;MD;Totalt;Thor Heyerdahl videregående skole;69;68;7,0%;6,9;32,3
2023/24;ME;Totalt;Thor Heyerdahl videregående skole;65;63;7,3%;7,4;32,0
2023/24;PB;Totalt;Thor Heyerdahl videregående skole;64;61;15,0%;15,7;64,5
2023/24;RM;Totalt;Thor Heyerdahl videregående skole;31;25;10,2%;16,2;14,8
2023/24;SR;Totalt;Thor Heyerdahl videregående skole;87;84;7,9%;9,0;30,5
2023/24;ST;Totalt;Thor Heyerdahl videregående skole;460;457;6,2%;5,1;29,2
2023/24;TP;Totalt;Thor Heyerdahl videregående skole;107;103;5,4%;3,8;33,0
2023/24;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;2;0;0,0%;0,0;0,0
2023/24;Alle utdanningsprogram;Totalt;Færder videregående skole;668;638;6,5%;8,2;18,1
2023/24;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;825;803;8,9%;9,0;36,8
2023/24;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;219;207;11,1%;12,4;38,3
2023/24;Alle utdanningsprogram;Totalt;Horten videregående skole;1 026;999;8,0%;9,0;29,7
2023/24;Alle utdanningsprogram;Totalt;Melsom videregående skole;164;158;9,1%;10,9;29,0
2023/24;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;576;556;8,5%;8,8;33,0
2023/24;Alle utdanningsprogram;Totalt;Re videregående skole;781;762;6,1%;6,4;24,2
2023/24;Alle utdanningsprogram;Totalt;Sande videregående skole;362;343;8,4%;10,4;26,4
