Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Hele landet;2021;kvinner;25 år +;grunnskole;19.9679877609508;
Hele landet;2021;kvinner;25-29 år;grunnskole;16.5126502015957;
Hele landet;2021;kvinner;30-39 år;grunnskole;16.2897166032196;
Hele landet;2021;kvinner;40-44 år;grunnskole;15.2918029678092;
Hele landet;2021;kvinner;45-74 år;grunnskole;19.3098296794039;
Hele landet;2021;kvinner;75 år +;grunnskole;33.3567547498233;
Hele landet;2022;kjønn samlet;25 år +;grunnskole;19.7514245346003;
Hele landet;2022;kjønn samlet;25-29 år;grunnskole;18.367538213444;
Hele landet;2022;kjønn samlet;30-39 år;grunnskole;18.7673707338275;
Hele landet;2022;kjønn samlet;40-44 år;grunnskole;17.8365051017506;
Hele landet;2022;kjønn samlet;45-74 år;grunnskole;18.7744439383686;
Hele landet;2022;kjønn samlet;75 år +;grunnskole;27.9636163532192;
Hele landet;2022;menn;25 år +;grunnskole;20.1888252576444;
Hele landet;2022;menn;25-29 år;grunnskole;21.3460804703328;
Hele landet;2022;menn;30-39 år;grunnskole;21.5765364351266;
Hele landet;2022;menn;40-44 år;grunnskole;20.1932388659461;
Hele landet;2022;menn;45-74 år;grunnskole;18.7537243900191;
Hele landet;2022;menn;75 år +;grunnskole;23.3836517994764;
Hele landet;2022;kvinner;25 år +;grunnskole;19.3147665902044;
Hele landet;2022;kvinner;25-29 år;grunnskole;15.2305811505286;
Hele landet;2022;kvinner;30-39 år;grunnskole;15.8422530625534;
Hele landet;2022;kvinner;40-44 år;grunnskole;15.3741931732279;
Hele landet;2022;kvinner;45-74 år;grunnskole;18.7955760372514;
Hele landet;2022;kvinner;75 år +;grunnskole;31.5770374087944;
Hele landet;2023;kjønn samlet;25 år +;grunnskole;19.4331838756447;
Hele landet;2023;kjønn samlet;25-29 år;grunnskole;17.6048406323734;
Hele landet;2023;kjønn samlet;30-39 år;grunnskole;18.5299788995293;
Hele landet;2023;kjønn samlet;40-44 år;grunnskole;17.7955909597176;
Hele landet;2023;kjønn samlet;45-74 år;grunnskole;18.649811957501;
Hele landet;2023;kjønn samlet;75 år +;grunnskole;26.6596880344095;
Hele landet;2023;menn;25 år +;grunnskole;19.9944698137222;
Hele landet;2023;menn;25-29 år;grunnskole;20.5580649472137;
Hele landet;2023;menn;30-39 år;grunnskole;21.3861542457563;
Hele landet;2023;menn;40-44 år;grunnskole;20.3357986077173;
Hele landet;2023;menn;45-74 år;grunnskole;18.7384012629539;
Hele landet;2023;menn;75 år +;grunnskole;22.4503866579708;
Hele landet;2023;kvinner;25 år +;grunnskole;18.8721243708648;
Hele landet;2023;kvinner;25-29 år;grunnskole;14.4981893429902;
Hele landet;2023;kvinner;30-39 år;grunnskole;15.5582404014551;
Hele landet;2023;kvinner;40-44 år;grunnskole;15.135749822317;
Hele landet;2023;kvinner;45-74 år;grunnskole;18.5594387557711;
Hele landet;2023;kvinner;75 år +;grunnskole;30.0341717550838;
Vestfold;2012;kjønn samlet;25 år +;grunnskole;23.0822704081633;
Vestfold;2012;kjønn samlet;25-29 år;grunnskole;26.8004329364749;
Vestfold;2012;kjønn samlet;30-39 år;grunnskole;18.9554338169973;
Vestfold;2012;kjønn samlet;40-44 år;grunnskole;18.0254965905722;
Vestfold;2012;kjønn samlet;45-74 år;grunnskole;22.0846741270832;
Vestfold;2012;kjønn samlet;75 år +;grunnskole;36.4275987290059;
Vestfold;2012;menn;25 år +;grunnskole;21.8586783491863;
Vestfold;2012;menn;25-29 år;grunnskole;30.5298013245033;
Vestfold;2012;menn;30-39 år;grunnskole;20.781923591497;
Vestfold;2012;menn;40-44 år;grunnskole;19.0160047421458;
Vestfold;2012;menn;45-74 år;grunnskole;20.4701820922374;
Vestfold;2012;menn;75 år +;grunnskole;28.0759821557059;
Vestfold;2012;kvinner;25 år +;grunnskole;24.2334971345109;
Vestfold;2012;kvinner;25-29 år;grunnskole;23.0279685144867;
Vestfold;2012;kvinner;30-39 år;grunnskole;17.1434891608907;
Vestfold;2012;kvinner;40-44 år;grunnskole;17.0344009489917;
Vestfold;2012;kvinner;45-74 år;grunnskole;23.6601741358449;
Vestfold;2012;kvinner;75 år +;grunnskole;41.864168618267;
Vestfold;2013;kjønn samlet;25 år +;grunnskole;22.8491920437656;
Vestfold;2013;kjønn samlet;25-29 år;grunnskole;28.4437825763217;
Vestfold;2013;kjønn samlet;30-39 år;grunnskole;19.2043075082261;
Vestfold;2013;kjønn samlet;40-44 år;grunnskole;17.2337100264487;
Vestfold;2013;kjønn samlet;45-74 år;grunnskole;21.6983137310472;
Vestfold;2013;kjønn samlet;75 år +;grunnskole;35.1369405477622;
Vestfold;2013;menn;25 år +;grunnskole;21.8200067784238;
Vestfold;2013;menn;25-29 år;grunnskole;32.4328776148905;
Vestfold;2013;menn;30-39 år;grunnskole;21.3898916967509;
Vestfold;2013;menn;40-44 år;grunnskole;18.3920440929787;
Vestfold;2013;menn;45-74 år;grunnskole;20.228369404233;
Vestfold;2013;menn;75 år +;grunnskole;26.9365457346967;
Vestfold;2013;kvinner;25 år +;grunnskole;23.8191177012567;
Vestfold;2013;kvinner;25-29 år;grunnskole;24.4182180851064;
Vestfold;2013;kvinner;30-39 år;grunnskole;17.0434265318263;
Vestfold;2013;kvinner;40-44 år;grunnskole;16.0675512665863;
Vestfold;2013;kvinner;45-74 år;grunnskole;23.1353042828453;
Vestfold;2013;kvinner;75 år +;grunnskole;40.5450346420323;
Vestfold;2014;kjønn samlet;25 år +;grunnskole;22.4038537954138;
Vestfold;2014;kjønn samlet;25-29 år;grunnskole;27.3954935133905;
Vestfold;2014;kjønn samlet;30-39 år;grunnskole;19.8340955014357;
Vestfold;2014;kjønn samlet;40-44 år;grunnskole;16.0513643659711;
Vestfold;2014;kjønn samlet;45-74 år;grunnskole;21.317348766708;
