Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Holmestrand;2016-2022;kjønn samlet;30 år;videregående eller høyere;84.838379;
Holmestrand;2016-2022;menn;30 år;alle utdanningsnivåer;81.966988;
Holmestrand;2016-2022;menn;30 år;grunnskole;79.292076;
Holmestrand;2016-2022;menn;30 år;videregående eller høyere;83.491325;
Holmestrand;2016-2022;kvinner;30 år;alle utdanningsnivåer;84.277275;
Holmestrand;2016-2022;kvinner;30 år;grunnskole;81.611687;
Holmestrand;2016-2022;kvinner;30 år;videregående eller høyere;86.185425;
Holmestrand;2017-2023;kjønn samlet;30 år;alle utdanningsnivåer;83.233826;
Holmestrand;2017-2023;kjønn samlet;30 år;grunnskole;80.56765;
Holmestrand;2017-2023;kjønn samlet;30 år;videregående eller høyere;84.990234;
Holmestrand;2017-2023;menn;30 år;alle utdanningsnivåer;82.155045;
Holmestrand;2017-2023;menn;30 år;grunnskole;79.6539;
Holmestrand;2017-2023;menn;30 år;videregående eller høyere;83.677048;
Holmestrand;2017-2023;kvinner;30 år;alle utdanningsnivåer;84.312614;
Holmestrand;2017-2023;kvinner;30 år;grunnskole;81.4814;
Holmestrand;2017-2023;kvinner;30 år;videregående eller høyere;86.303429;
Holmestrand;2018-2024;kjønn samlet;30 år;alle utdanningsnivåer;83.329445;
Holmestrand;2018-2024;kjønn samlet;30 år;grunnskole;80.24762;
Holmestrand;2018-2024;kjønn samlet;30 år;videregående eller høyere;85.246223;
Holmestrand;2018-2024;menn;30 år;alle utdanningsnivåer;82.146027;
Holmestrand;2018-2024;menn;30 år;grunnskole;78.977455;
Holmestrand;2018-2024;menn;30 år;videregående eller høyere;83.901611;
Holmestrand;2018-2024;kvinner;30 år;alle utdanningsnivåer;84.512863;
Holmestrand;2018-2024;kvinner;30 år;grunnskole;81.517776;
Holmestrand;2018-2024;kvinner;30 år;videregående eller høyere;86.590836;
Tønsberg;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.371704;
Tønsberg;2010-2016;kjønn samlet;30 år;grunnskole;78.60524;
Tønsberg;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.455444;
Tønsberg;2010-2016;menn;30 år;alle utdanningsnivåer;81.007965;
Tønsberg;2010-2016;menn;30 år;grunnskole;77.304291;
Tønsberg;2010-2016;menn;30 år;videregående eller høyere;82.677322;
Tønsberg;2010-2016;kvinner;30 år;alle utdanningsnivåer;83.735443;
Tønsberg;2010-2016;kvinner;30 år;grunnskole;79.906181;
Tønsberg;2010-2016;kvinner;30 år;videregående eller høyere;86.233566;
Tønsberg;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.465225;
Tønsberg;2011-2017;kjønn samlet;30 år;grunnskole;78.861984;
Tønsberg;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.463455;
Tønsberg;2011-2017;menn;30 år;alle utdanningsnivåer;80.97979;
Tønsberg;2011-2017;menn;30 år;grunnskole;77.162903;
Tønsberg;2011-2017;menn;30 år;videregående eller høyere;82.666481;
Tønsberg;2011-2017;kvinner;30 år;alle utdanningsnivåer;83.950668;
Tønsberg;2011-2017;kvinner;30 år;grunnskole;80.561066;
Tønsberg;2011-2017;kvinner;30 år;videregående eller høyere;86.260422;
Tønsberg;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.750717;
Tønsberg;2012-2018;kjønn samlet;30 år;grunnskole;79.122498;
Tønsberg;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.699188;
Tønsberg;2012-2018;menn;30 år;alle utdanningsnivåer;81.277611;
Tønsberg;2012-2018;menn;30 år;grunnskole;77.429794;
Tønsberg;2012-2018;menn;30 år;videregående eller høyere;83.095795;
Tønsberg;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.223816;
Tønsberg;2012-2018;kvinner;30 år;grunnskole;80.815201;
Tønsberg;2012-2018;kvinner;30 år;videregående eller høyere;86.302582;
Tønsberg;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;83.008636;
Tønsberg;2013-2019;kjønn samlet;30 år;grunnskole;79.351143;
Tønsberg;2013-2019;kjønn samlet;30 år;videregående eller høyere;84.890549;
Tønsberg;2013-2019;menn;30 år;alle utdanningsnivåer;81.417267;
Tønsberg;2013-2019;menn;30 år;grunnskole;77.572235;
Tønsberg;2013-2019;menn;30 år;videregående eller høyere;83.207947;
Tønsberg;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.600006;
Tønsberg;2013-2019;kvinner;30 år;grunnskole;81.130051;
Tønsberg;2013-2019;kvinner;30 år;videregående eller høyere;86.573151;
Tønsberg;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.199509;
Tønsberg;2014-2020;kjønn samlet;30 år;grunnskole;79.545082;
Tønsberg;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.033722;
Tønsberg;2014-2020;menn;30 år;alle utdanningsnivåer;81.644608;
Tønsberg;2014-2020;menn;30 år;grunnskole;77.733154;
Tønsberg;2014-2020;menn;30 år;videregående eller høyere;83.446678;
Tønsberg;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.75441;
Tønsberg;2014-2020;kvinner;30 år;grunnskole;81.35701;
Tønsberg;2014-2020;kvinner;30 år;videregående eller høyere;86.620758;
Tønsberg;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.50647;
Tønsberg;2015-2021;kjønn samlet;30 år;grunnskole;79.744461;
Tønsberg;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.275864;
Tønsberg;2015-2021;menn;30 år;alle utdanningsnivåer;81.96479;
Tønsberg;2015-2021;menn;30 år;grunnskole;78.046982;
Tønsberg;2015-2021;menn;30 år;videregående eller høyere;83.683601;
Tønsberg;2015-2021;kvinner;30 år;alle utdanningsnivåer;85.048141;
Tønsberg;2015-2021;kvinner;30 år;grunnskole;81.44194;
Tønsberg;2015-2021;kvinner;30 år;videregående eller høyere;86.868126;
Tønsberg;2016-2022;kjønn samlet;30 år;alle utdanningsnivåer;83.435059;
Tønsberg;2016-2022;kjønn samlet;30 år;grunnskole;79.72998;
Tønsberg;2016-2022;kjønn samlet;30 år;videregående eller høyere;85.171135;
