År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Verdi
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;7;1,8
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;217;54,5
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;110;27,6
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;64;16,1
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;0;*
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;10;*
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;11;*
2023-24;Informasjonsteknologi og medieproduksjon;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;*;*
2023-24;Naturbruk;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;375;88,9
2023-24;Naturbruk;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;18;4,3
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;80;19
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;245;58,2
