År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Verdi
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;2 471;4,3
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 469;4,1
2025-26;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 460;3,9
2025-26;Teknologi- og industrifag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;122;3,4
2025-26;Teknologi- og industrifag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;124;4
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;124;4,3
2025-26;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;124;3,9
2025-26;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;124;4
2024-25;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;10 401;3,5
2024-25;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;10 475;4
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;10 476;4,3
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;10 466;4
2024-25;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;10 448;4
2024-25;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;425;3,4
2024-25;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;430;3,9
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;trives du på arbeidsplassen?;Alle svar;430;4,2
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;429;3,9
2024-25;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;429;3,9
2024-25;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 130;3,4
2024-25;Bygg- og anleggsteknikk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 169;4,1
